任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式,连续执行时长_小时
34,批量推理任务,1494,18,289,中,区域B,80,2406,1494,不可抢占,4.816666666666666
35,实时推理任务,1516,2,261,高,区域B,20,1521,1516,不可抢占,4.35
36,批量推理任务,858,16,166,中,区域D,80,2406,858,不可抢占,2.7666666666666666
37,人工智能训练任务,1093,30,74,低,区域F,150,2406,1093,不可抢占,1.2333333333333334
38,人工智能训练任务,292,104,353,低,区域F,150,2406,292,不可抢占,5.883333333333334
39,人工智能训练任务,700,16,145,低,区域B,150,2406,700,不可抢占,2.4166666666666665
40,人工智能训练任务,1002,103,90,低,区域D,150,2406,1002,不可抢占,1.5
41,实时推理任务,1893,3,298,高,区域B,20,1898,1893,不可抢占,4.966666666666667
42,批量推理任务,1105,8,50,中,区域C,80,2406,1105,不可抢占,0.8333333333333334
43,人工智能训练任务,2281,43,210,低,区域E,150,2406,2281,不可抢占,3.5
44,实时推理任务,1328,4,42,高,区域C,20,1329,1328,不可抢占,0.7
45,实时推理任务,938,7,71,高,区域F,20,940,938,不可抢占,1.1833333333333333
46,实时推理任务,1292,5,369,高,区域A,20,1299,1292,不可抢占,6.15
47,批量推理任务,1096,6,236,中,区域B,80,2406,1096,不可抢占,3.933333333333333
48,实时推理任务,864,5,140,高,区域B,20,867,864,不可抢占,2.3333333333333335
49,人工智能训练任务,1288,16,227,低,区域E,150,2406,1288,不可抢占,3.783333333333333
50,实时推理任务,2044,7,368,高,区域C,20,2051,2044,不可抢占,6.133333333333334
51,批量推理任务,1879,12,24,中,区域F,80,2406,1879,不可抢占,0.4
52,实时推理任务,1084,2,389,高,区域A,20,1091,1084,不可抢占,6.483333333333333
53,实时推理任务,1010,5,72,高,区域A,20,1012,1010,不可抢占,1.2
54,人工智能训练任务,2299,111,250,低,区域D,150,2406,2299,不可抢占,4.166666666666667
55,人工智能训练任务,1076,67,105,低,区域E,150,2406,1076,不可抢占,1.75
56,人工智能训练任务,2394,19,240,低,区域E,150,2406,2394,不可抢占,4
57,批量推理任务,2390,16,180,中,区域E,80,2406,2390,不可抢占,3
58,批量推理任务,1482,7,169,中,区域F,80,2406,1482,不可抢占,2.816666666666667
59,实时推理任务,566,7,252,高,区域A,20,571,566,不可抢占,4.2
60,人工智能训练任务,2021,101,75,低,区域D,150,2406,2021,不可抢占,1.25
61,实时推理任务,192,2,71,高,区域B,20,194,192,不可抢占,1.1833333333333333
62,实时推理任务,626,1,293,高,区域B,20,631,626,不可抢占,4.883333333333334
63,人工智能训练任务,655,43,53,低,区域E,150,2406,655,不可抢占,0.8833333333333333
64,人工智能训练任务,1729,99,340,低,区域F,150,2406,1729,不可抢占,5.666666666666667
65,人工智能训练任务,260,107,240,低,区域A,150,2406,260,不可抢占,4
66,批量推理任务,1563,4,386,中,区域A,80,2406,1563,不可抢占,6.433333333333334
67,人工智能训练任务,1917,42,130,低,区域D,150,2406,1917,不可抢占,2.1666666666666665
68,人工智能训练任务,1029,92,268,低,区域D,150,2406,1029,不可抢占,4.466666666666667
69,人工智能训练任务,47,118,146,低,区域E,150,2406,47,不可抢占,2.433333333333333
70,人工智能训练任务,469,77,234,低,区域F,150,2406,469,不可抢占,3.9
71,人工智能训练任务,2199,66,181,低,区域F,150,2406,2199,不可抢占,3.0166666666666666
72,批量推理任务,1393,18,383,中,区域A,80,2406,1393,不可抢占,6.383333333333334
73,实时推理任务,1202,1,122,高,区域A,20,1205,1202,不可抢占,2.033333333333333
74,批量推理任务,647,20,61,中,区域C,80,2406,647,不可抢占,1.0166666666666666
75,批量推理任务,13,15,395,中,区域D,80,2406,13,不可抢占,6.583333333333333
76,人工智能训练任务,1078,18,122,低,区域E,150,2406,1078,不可抢占,2.033333333333333
77,人工智能训练任务,731,71,196,低,区域F,150,2406,731,不可抢占,3.2666666666666666
78,人工智能训练任务,435,17,229,低,区域A,150,2406,435,不可抢占,3.816666666666667
79,人工智能训练任务,1222,69,233,低,区域D,150,2406,1222,不可抢占,3.8833333333333333
80,人工智能训练任务,2079,112,135,低,区域D,150,2406,2079,不可抢占,2.25
81,人工智能训练任务,814,17,181,低,区域D,150,2406,814,不可抢占,3.0166666666666666
82,实时推理任务,1531,2,207,高,区域B,20,1535,1531,不可抢占,3.45
83,实时推理任务,2209,7,212,高,区域C,20,2213,2209,不可抢占,3.533333333333333
84,人工智能训练任务,2,71,264,低,区域F,150,2406,2,不可抢占,4.4
85,人工智能训练任务,1327,53,334,低,区域B,150,2406,1327,不可抢占,5.566666666666666
86,批量推理任务,79,23,207,中,区域B,80,2406,79,不可抢占,3.45
87,实时推理任务,1486,6,249,高,区域B,20,1491,1486,不可抢占,4.15
88,批量推理任务,980,19,210,中,区域C,80,2406,980,不可抢占,3.5
89,实时推理任务,986,4,335,高,区域C,20,992,986,不可抢占,5.583333333333333
90,人工智能训练任务,322,95,157,低,区域F,150,2406,322,不可抢占,2.6166666666666667
91,实时推理任务,1990,4,355,高,区域F,20,1996,1990,不可抢占,5.916666666666667
92,实时推理任务,2181,3,157,高,区域A,20,2184,2181,不可抢占,2.6166666666666667
93,实时推理任务,525,7,137,高,区域A,20,528,525,不可抢占,2.283333333333333
94,人工智能训练任务,1946,54,369,低,区域D,150,2406,1946,不可抢占,6.15
95,人工智能训练任务,676,16,160,低,区域E,150,2406,676,不可抢占,2.6666666666666665
96,批量推理任务,2161,13,272,中,区域E,80,2406,2161,不可抢占,4.533333333333333
97,人工智能训练任务,1733,31,121,低,区域F,150,2406,1733,不可抢占,2.0166666666666666
98,实时推理任务,2208,1,378,高,区域A,20,2215,2208,不可抢占,6.3
99,人工智能训练任务,823,17,263,低,区域D,150,2406,823,不可抢占,4.383333333333334
100,人工智能训练任务,1276,27,46,低,区域D,150,2406,1276,不可抢占,0.7666666666666667
101,批量推理任务,1529,12,108,中,区域C,80,2406,1529,不可抢占,1.8
102,批量推理任务,2119,22,217,中,区域D,80,2406,2119,不可抢占,3.6166666666666667
103,批量推理任务,495,6,161,中,区域E,80,2406,495,不可抢占,2.683333333333333
104,实时推理任务,920,6,125,高,区域F,20,923,920,不可抢占,2.0833333333333335
105,实时推理任务,1384,3,113,高,区域A,20,1386,1384,不可抢占,1.8833333333333333
106,实时推理任务,2268,4,108,高,区域A,20,2270,2268,不可抢占,1.8
107,实时推理任务,902,1,393,高,区域B,20,909,902,不可抢占,6.55
108,实时推理任务,290,6,203,高,区域B,20,294,290,不可抢占,3.3833333333333333
109,人工智能训练任务,241,69,217,低,区域E,150,2406,241,不可抢占,3.6166666666666667
110,实时推理任务,276,5,170,高,区域C,20,279,276,不可抢占,2.8333333333333335
111,实时推理任务,1353,4,286,高,区域A,20,1358,1353,不可抢占,4.766666666666667
112,实时推理任务,2105,4,144,高,区域A,20,2108,2105,不可抢占,2.4
113,实时推理任务,1140,3,137,高,区域B,20,1143,1140,不可抢占,2.283333333333333
114,人工智能训练任务,1988,48,380,低,区域E,150,2406,1988,不可抢占,6.333333333333333
115,实时推理任务,2208,6,247,高,区域C,20,2213,2208,不可抢占,4.116666666666666
116,实时推理任务,2338,6,239,高,区域C,20,2342,2338,不可抢占,3.9833333333333334
117,人工智能训练任务,1936,124,273,低,区域F,150,2406,1936,不可抢占,4.55
118,实时推理任务,1937,3,235,高,区域A,20,1941,1937,不可抢占,3.9166666666666665
119,批量推理任务,779,4,376,中,区域B,80,2406,779,不可抢占,6.266666666666667
120,实时推理任务,397,1,326,高,区域B,20,403,397,不可抢占,5.433333333333334
121,人工智能训练任务,1765,63,13,低,区域E,150,2406,1765,不可抢占,0.21666666666666667
122,批量推理任务,1734,6,58,中,区域D,80,2406,1734,不可抢占,0.9666666666666667
123,批量推理任务,1912,20,229,中,区域E,80,2406,1912,不可抢占,3.816666666666667
124,人工智能训练任务,221,45,55,低,区域A,150,2406,221,不可抢占,0.9166666666666666
125,人工智能训练任务,403,21,389,低,区域D,150,2406,403,不可抢占,6.483333333333333
126,实时推理任务,1649,1,289,高,区域A,20,1654,1649,不可抢占,4.816666666666666
127,人工智能训练任务,1389,108,190,低,区域D,150,2406,1389,不可抢占,3.1666666666666665
128,实时推理任务,1018,7,125,高,区域B,20,1021,1018,不可抢占,2.0833333333333335
129,实时推理任务,779,7,170,高,区域C,20,782,779,不可抢占,2.8333333333333335
130,人工智能训练任务,1837,82,27,低,区域F,150,2406,1837,不可抢占,0.45
131,实时推理任务,1728,1,67,高,区域A,20,1730,1728,不可抢占,1.1166666666666667
132,实时推理任务,1140,3,289,高,区域A,20,1145,1140,不可抢占,4.816666666666666
133,批量推理任务,1023,21,351,中,区域B,80,2406,1023,不可抢占,5.85
134,实时推理任务,1815,7,136,高,区域B,20,1818,1815,不可抢占,2.2666666666666666
135,人工智能训练任务,401,42,395,低,区域E,150,2406,401,不可抢占,6.583333333333333
136,实时推理任务,2214,2,113,高,区域C,20,2216,2214,不可抢占,1.8833333333333333
137,实时推理任务,382,1,308,高,区域A,20,388,382,不可抢占,5.133333333333334
138,实时推理任务,681,6,48,高,区域A,20,682,681,不可抢占,0.8
139,批量推理任务,1989,13,35,中,区域B,80,2406,1989,不可抢占,0.5833333333333334
140,批量推理任务,875,6,22,中,区域C,80,2406,875,不可抢占,0.36666666666666664
141,批量推理任务,240,10,45,中,区域D,80,2406,240,不可抢占,0.75
142,实时推理任务,1552,5,330,高,区域C,20,1558,1552,不可抢占,5.5
143,实时推理任务,1599,6,151,高,区域D,20,1602,1599,不可抢占,2.5166666666666666
144,批量推理任务,1863,15,152,中,区域A,80,2406,1863,不可抢占,2.533333333333333
145,批量推理任务,1732,5,297,中,区域B,80,2406,1732,不可抢占,4.95
146,人工智能训练任务,2276,102,351,低,区域D,150,2406,2276,不可抢占,5.85
147,人工智能训练任务,1993,66,195,低,区域E,150,2406,1993,不可抢占,3.25
148,实时推理任务,777,7,134,高,区域C,20,780,777,不可抢占,2.2333333333333334
149,批量推理任务,891,20,179,中,区域E,80,2406,891,不可抢占,2.9833333333333334
150,实时推理任务,2372,6,63,高,区域F,20,2374,2372,不可抢占,1.05
151,人工智能训练任务,2220,122,110,低,区域C,150,2406,2220,不可抢占,1.8333333333333333
152,实时推理任务,1284,1,62,高,区域A,20,1286,1284,不可抢占,1.0333333333333334
153,实时推理任务,205,4,112,高,区域B,20,207,205,不可抢占,1.8666666666666667
154,人工智能训练任务,1952,83,374,低,区域E,150,2406,1952,不可抢占,6.233333333333333
155,人工智能训练任务,2175,111,364,低,区域F,150,2406,2175,不可抢占,6.066666666666666
156,实时推理任务,232,7,317,高,区域D,20,238,232,不可抢占,5.283333333333333
157,人工智能训练任务,328,31,379,低,区域B,150,2406,328,不可抢占,6.316666666666666
158,实时推理任务,280,4,156,高,区域A,20,283,280,不可抢占,2.6
159,人工智能训练任务,278,32,328,低,区域D,150,2406,278,不可抢占,5.466666666666667
160,人工智能训练任务,963,34,67,低,区域E,150,2406,963,不可抢占,1.1166666666666667
161,批量推理任务,491,8,126,中,区域D,80,2406,491,不可抢占,2.1
162,人工智能训练任务,1008,77,136,低,区域F,150,2406,1008,不可抢占,2.2666666666666666
163,人工智能训练任务,162,24,138,低,区域F,150,2406,162,不可抢占,2.3
164,人工智能训练任务,335,73,10,低,区域C,150,2406,335,不可抢占,0.16666666666666666
165,批量推理任务,2390,18,105,中,区域B,80,2406,2390,不可抢占,1.75
166,人工智能训练任务,2141,63,246,低,区域D,150,2406,2141,不可抢占,4.1
167,批量推理任务,1068,4,198,中,区域D,80,2406,1068,不可抢占,3.3
168,实时推理任务,1286,7,78,高,区域C,20,1288,1286,不可抢占,1.3
169,实时推理任务,1087,6,85,高,区域C,20,1089,1087,不可抢占,1.4166666666666667
170,批量推理任务,536,19,95,中,区域A,80,2406,536,不可抢占,1.5833333333333333
171,人工智能训练任务,1228,72,229,低,区域D,150,2406,1228,不可抢占,3.816666666666667
172,批量推理任务,1295,8,103,中,区域B,80,2406,1295,不可抢占,1.7166666666666666
173,实时推理任务,38,6,213,高,区域B,20,42,38,不可抢占,3.55
174,批量推理任务,2306,19,350,中,区域D,80,2406,2306,不可抢占,5.833333333333333
175,实时推理任务,300,7,263,高,区域C,20,305,300,不可抢占,4.383333333333334
176,人工智能训练任务,873,109,32,低,区域F,150,2406,873,不可抢占,0.5333333333333333
177,人工智能训练任务,1086,25,334,低,区域C,150,2406,1086,不可抢占,5.566666666666666
178,实时推理任务,1429,4,189,高,区域A,20,1433,1429,不可抢占,3.15
179,实时推理任务,1000,7,259,高,区域B,20,1005,1000,不可抢占,4.316666666666666
180,批量推理任务,1167,22,105,中,区域D,80,2406,1167,不可抢占,1.75
181,实时推理任务,1794,1,13,高,区域C,20,1795,1794,不可抢占,0.21666666666666667
182,人工智能训练任务,1239,31,345,低,区域F,150,2406,1239,不可抢占,5.75
183,人工智能训练任务,2166,17,393,低,区域A,150,2406,2166,不可抢占,6.55
184,实时推理任务,2271,3,161,高,区域A,20,2274,2271,不可抢占,2.683333333333333
185,批量推理任务,424,15,172,中,区域B,80,2406,424,不可抢占,2.8666666666666667
186,实时推理任务,1083,4,188,高,区域B,20,1087,1083,不可抢占,3.1333333333333333
187,实时推理任务,438,3,332,高,区域B,20,444,438,不可抢占,5.533333333333333
188,人工智能训练任务,2266,80,177,低,区域F,150,2406,2266,不可抢占,2.95
189,实时推理任务,1115,2,53,高,区域E,20,1116,1115,不可抢占,0.8833333333333333
190,批量推理任务,862,16,104,中,区域A,80,2406,862,不可抢占,1.7333333333333334
191,人工智能训练任务,1404,61,262,低,区域D,150,2406,1404,不可抢占,4.366666666666666
192,实时推理任务,1081,3,224,高,区域B,20,1085,1081,不可抢占,3.7333333333333334
193,人工智能训练任务,2001,96,273,低,区域E,150,2406,2001,不可抢占,4.55
194,批量推理任务,208,13,124,中,区域D,80,2406,208,不可抢占,2.066666666666667
195,实时推理任务,1734,1,205,高,区域C,20,1738,1734,不可抢占,3.4166666666666665
196,批量推理任务,180,21,385,中,区域A,80,2406,180,不可抢占,6.416666666666667
197,实时推理任务,1366,4,286,高,区域A,20,1371,1366,不可抢占,4.766666666666667
198,实时推理任务,1072,5,366,高,区域A,20,1079,1072,不可抢占,6.1
199,实时推理任务,1809,1,201,高,区域B,20,1813,1809,不可抢占,3.35
200,人工智能训练任务,1751,114,45,低,区域E,150,2406,1751,不可抢占,0.75
201,人工智能训练任务,39,97,105,低,区域F,150,2406,39,不可抢占,1.75
202,实时推理任务,308,7,233,高,区域D,20,312,308,不可抢占,3.8833333333333333
203,人工智能训练任务,610,52,378,低,区域B,150,2406,610,不可抢占,6.3
204,人工智能训练任务,147,70,288,低,区域D,150,2406,147,不可抢占,4.8
205,批量推理任务,2385,6,295,中,区域B,80,2406,2385,不可抢占,4.916666666666667
206,人工智能训练任务,606,32,71,低,区域E,150,2406,606,不可抢占,1.1833333333333333
207,批量推理任务,522,23,226,中,区域D,80,2406,522,不可抢占,3.7666666666666666
208,实时推理任务,1262,6,196,高,区域C,20,1266,1262,不可抢占,3.2666666666666666
209,批量推理任务,163,22,109,中,区域F,80,2406,163,不可抢占,1.8166666666666667
210,批量推理任务,860,15,242,中,区域A,80,2406,860,不可抢占,4.033333333333333
211,人工智能训练任务,1022,34,274,低,区域D,150,2406,1022,不可抢占,4.566666666666666
212,人工智能训练任务,421,86,215,低,区域D,150,2406,421,不可抢占,3.5833333333333335
213,批量推理任务,2293,23,376,中,区域D,80,2406,2293,不可抢占,6.266666666666667
214,批量推理任务,633,19,78,中,区域D,80,2406,633,不可抢占,1.3
215,实时推理任务,665,3,34,高,区域D,20,666,665,不可抢占,0.5666666666666667
216,实时推理任务,1688,4,62,高,区域A,20,1690,1688,不可抢占,1.0333333333333334
217,实时推理任务,734,7,66,高,区域A,20,736,734,不可抢占,1.1
218,人工智能训练任务,1360,54,190,低,区域D,150,2406,1360,不可抢占,3.1666666666666665
219,批量推理任务,1016,13,232,中,区域C,80,2406,1016,不可抢占,3.8666666666666667
220,批量推理任务,652,8,224,中,区域D,80,2406,652,不可抢占,3.7333333333333334
221,人工智能训练任务,442,108,340,低,区域F,150,2406,442,不可抢占,5.666666666666667
222,批量推理任务,158,21,85,中,区域F,80,2406,158,不可抢占,1.4166666666666667
223,批量推理任务,911,12,262,中,区域A,80,2406,911,不可抢占,4.366666666666666
224,实时推理任务,1885,6,183,高,区域A,20,1889,1885,不可抢占,3.05
225,批量推理任务,1250,16,179,中,区域C,80,2406,1250,不可抢占,2.9833333333333334
226,实时推理任务,913,1,292,高,区域B,20,918,913,不可抢占,4.866666666666666
227,实时推理任务,791,2,14,高,区域C,20,792,791,不可抢占,0.23333333333333334
228,批量推理任务,1344,8,348,中,区域F,80,2406,1344,不可抢占,5.8
229,批量推理任务,284,11,330,中,区域A,80,2406,284,不可抢占,5.5
230,批量推理任务,1438,23,336,中,区域A,80,2406,1438,不可抢占,5.6
231,人工智能训练任务,2086,104,141,低,区域D,150,2406,2086,不可抢占,2.35
232,批量推理任务,2196,7,261,中,区域C,80,2406,2196,不可抢占,4.35
233,批量推理任务,113,22,373,中,区域D,80,2406,113,不可抢占,6.216666666666667
234,实时推理任务,1069,6,100,高,区域C,20,1071,1069,不可抢占,1.6666666666666667
235,实时推理任务,2378,2,28,高,区域E,20,2379,2378,不可抢占,0.4666666666666667
236,批量推理任务,156,10,182,中,区域A,80,2406,156,不可抢占,3.033333333333333
237,实时推理任务,1779,5,157,高,区域A,20,1782,1779,不可抢占,2.6166666666666667
238,批量推理任务,1284,11,392,中,区域C,80,2406,1284,不可抢占,6.533333333333333
239,批量推理任务,2094,12,10,中,区域D,80,2406,2094,不可抢占,0.16666666666666666
240,实时推理任务,1577,3,357,高,区域C,20,1583,1577,不可抢占,5.95
241,人工智能训练任务,778,77,200,低,区域F,150,2406,778,不可抢占,3.3333333333333335
242,批量推理任务,181,20,321,中,区域A,80,2406,181,不可抢占,5.35
243,人工智能训练任务,1786,48,126,低,区域D,150,2406,1786,不可抢占,2.1
244,实时推理任务,2129,6,53,高,区域A,20,2130,2129,不可抢占,0.8833333333333333
245,人工智能训练任务,807,60,326,低,区域D,150,2406,807,不可抢占,5.433333333333334
246,批量推理任务,1766,18,89,中,区域D,80,2406,1766,不可抢占,1.4833333333333334
247,实时推理任务,1352,6,212,高,区域C,20,1356,1352,不可抢占,3.533333333333333
248,人工智能训练任务,1285,116,236,低,区域F,150,2406,1285,不可抢占,3.933333333333333
249,人工智能训练任务,510,34,56,低,区域B,150,2406,510,不可抢占,0.9333333333333333
250,人工智能训练任务,1230,120,23,低,区域D,150,2406,1230,不可抢占,0.38333333333333336
251,人工智能训练任务,1266,30,10,低,区域D,150,2406,1266,不可抢占,0.16666666666666666
252,人工智能训练任务,1672,69,153,低,区域E,150,2406,1672,不可抢占,2.55
253,批量推理任务,1648,14,339,中,区域D,80,2406,1648,不可抢占,5.65
254,人工智能训练任务,1211,111,367,低,区域F,150,2406,1211,不可抢占,6.116666666666666
255,人工智能训练任务,521,91,382,低,区域F,150,2406,521,不可抢占,6.366666666666666
256,实时推理任务,1722,2,99,高,区域A,20,1724,1722,不可抢占,1.65
257,人工智能训练任务,1552,23,325,低,区域D,150,2406,1552,不可抢占,5.416666666666667
258,人工智能训练任务,712,65,229,低,区域D,150,2406,712,不可抢占,3.816666666666667
259,人工智能训练任务,2331,116,237,低,区域E,150,2406,2331,不可抢占,3.95
260,批量推理任务,1663,20,221,中,区域E,80,2406,1663,不可抢占,3.683333333333333
261,人工智能训练任务,1,92,249,低,区域F,150,2406,1,不可抢占,4.15
262,批量推理任务,1175,16,44,中,区域A,80,2406,1175,不可抢占,0.7333333333333333
263,实时推理任务,1760,5,91,高,区域A,20,1762,1760,不可抢占,1.5166666666666666
264,人工智能训练任务,1319,84,19,低,区域D,150,2406,1319,不可抢占,0.31666666666666665
265,批量推理任务,1809,21,374,中,区域C,80,2406,1809,不可抢占,6.233333333333333
266,批量推理任务,875,8,298,中,区域D,80,2406,875,不可抢占,4.966666666666667
267,人工智能训练任务,1938,80,233,低,区域F,150,2406,1938,不可抢占,3.8833333333333333
268,人工智能训练任务,695,126,276,低,区域F,150,2406,695,不可抢占,4.6
269,人工智能训练任务,347,100,226,低,区域C,150,2406,347,不可抢占,3.7666666666666666
270,批量推理任务,2111,20,107,中,区域B,80,2406,2111,不可抢占,1.7833333333333334
271,人工智能训练任务,1372,120,394,低,区域D,150,2406,1372,不可抢占,6.566666666666666
272,实时推理任务,962,5,15,高,区域B,20,963,962,不可抢占,0.25
273,人工智能训练任务,1271,107,206,低,区域E,150,2406,1271,不可抢占,3.433333333333333
274,实时推理任务,815,7,367,高,区域C,20,822,815,不可抢占,6.116666666666666
275,实时推理任务,100,3,32,高,区域A,20,101,100,不可抢占,0.5333333333333333
276,实时推理任务,1002,5,174,高,区域A,20,1005,1002,不可抢占,2.9
277,批量推理任务,298,13,92,中,区域B,80,2406,298,不可抢占,1.5333333333333334
278,批量推理任务,1697,20,87,中,区域C,80,2406,1697,不可抢占,1.45
279,人工智能训练任务,2357,88,10,低,区域E,150,2406,2357,不可抢占,0.16666666666666666
280,实时推理任务,1572,3,214,高,区域C,20,1576,1572,不可抢占,3.566666666666667
281,批量推理任务,1636,7,378,中,区域F,80,2406,1636,不可抢占,6.3
282,实时推理任务,604,2,48,高,区域A,20,605,604,不可抢占,0.8
283,人工智能训练任务,22,41,171,低,区域D,150,2406,22,不可抢占,2.85
284,实时推理任务,1741,6,388,高,区域B,20,1748,1741,不可抢占,6.466666666666667
285,实时推理任务,720,2,63,高,区域B,20,722,720,不可抢占,1.05
286,人工智能训练任务,2121,123,231,低,区域E,150,2406,2121,不可抢占,3.85
287,批量推理任务,205,20,264,中,区域E,80,2406,205,不可抢占,4.4
288,人工智能训练任务,1020,62,238,低,区域A,150,2406,1020,不可抢占,3.966666666666667
289,实时推理任务,1869,5,75,高,区域A,20,1871,1869,不可抢占,1.25
290,实时推理任务,1903,3,112,高,区域A,20,1905,1903,不可抢占,1.8666666666666667
291,人工智能训练任务,2175,53,235,低,区域D,150,2406,2175,不可抢占,3.9166666666666665
292,人工智能训练任务,1299,53,107,低,区域E,150,2406,1299,不可抢占,1.7833333333333334
293,批量推理任务,2067,21,344,中,区域E,80,2406,2067,不可抢占,5.733333333333333
294,批量推理任务,2244,22,317,中,区域F,80,2406,2244,不可抢占,5.283333333333333
295,批量推理任务,651,9,344,中,区域A,80,2406,651,不可抢占,5.733333333333333
296,人工智能训练任务,1944,45,115,低,区域D,150,2406,1944,不可抢占,1.9166666666666667
297,批量推理任务,1061,22,142,中,区域C,80,2406,1061,不可抢占,2.3666666666666667
298,实时推理任务,1135,5,147,高,区域B,20,1138,1135,不可抢占,2.45
299,人工智能训练任务,1984,71,339,低,区域E,150,2406,1984,不可抢占,5.65
300,人工智能训练任务,979,32,349,低,区域F,150,2406,979,不可抢占,5.816666666666666
301,批量推理任务,1801,8,271,中,区域A,80,2406,1801,不可抢占,4.516666666666667
302,实时推理任务,1170,5,214,高,区域A,20,1174,1170,不可抢占,3.566666666666667
303,实时推理任务,1112,6,249,高,区域A,20,1117,1112,不可抢占,4.15
304,批量推理任务,1309,14,120,中,区域C,80,2406,1309,不可抢占,2
305,人工智能训练任务,330,38,383,低,区域E,150,2406,330,不可抢占,6.383333333333334
306,实时推理任务,617,4,193,高,区域C,20,621,617,不可抢占,3.216666666666667
307,实时推理任务,1568,1,361,高,区域D,20,1575,1568,不可抢占,6.016666666666667
308,人工智能训练任务,625,82,102,低,区域B,150,2406,625,不可抢占,1.7
309,人工智能训练任务,876,47,70,低,区域D,150,2406,876,不可抢占,1.1666666666666667
310,实时推理任务,1699,2,286,高,区域B,20,1704,1699,不可抢占,4.766666666666667
311,批量推理任务,1355,8,101,中,区域C,80,2406,1355,不可抢占,1.6833333333333333
312,人工智能训练任务,1908,57,31,低,区域E,150,2406,1908,不可抢占,0.5166666666666667
313,批量推理任务,255,9,142,中,区域E,80,2406,255,不可抢占,2.3666666666666667
314,实时推理任务,1720,1,355,高,区域F,20,1726,1720,不可抢占,5.916666666666667
315,批量推理任务,2392,17,87,中,区域A,80,2406,2392,不可抢占,1.45
316,人工智能训练任务,80,105,82,低,区域D,150,2406,80,不可抢占,1.3666666666666667
317,人工智能训练任务,1558,41,56,低,区域D,150,2406,1558,不可抢占,0.9333333333333333
318,批量推理任务,24,18,359,中,区域D,80,2406,24,不可抢占,5.983333333333333
319,批量推理任务,1223,14,57,中,区域E,80,2406,1223,不可抢占,0.95
320,批量推理任务,1716,20,301,中,区域F,80,2406,1716,不可抢占,5.016666666666667
321,人工智能训练任务,2236,16,122,低,区域B,150,2406,2236,不可抢占,2.033333333333333
322,人工智能训练任务,903,114,189,低,区域D,150,2406,903,不可抢占,3.15
