到达小时,图形处理器总需求,任务数,数据集
253,842,24,训练集
254,357,22,训练集
255,870,21,训练集
256,277,13,训练集
257,570,19,训练集
258,884,31,训练集
259,771,25,训练集
260,858,29,训练集
261,512,24,训练集
262,494,21,训练集
263,616,24,训练集
264,342,17,训练集
265,716,23,训练集
266,1016,27,训练集
267,516,15,训练集
268,564,21,训练集
269,602,18,训练集
270,997,26,训练集
271,992,22,训练集
272,354,19,训练集
273,705,23,训练集
274,263,23,训练集
275,1127,35,训练集
276,503,24,训练集
277,514,20,训练集
278,751,22,训练集
279,671,18,训练集
280,547,18,训练集
281,630,22,训练集
282,601,15,训练集
283,541,21,训练集
284,559,27,训练集
285,305,16,训练集
286,427,21,训练集
287,483,20,训练集
288,713,24,训练集
289,644,22,训练集
290,995,29,训练集
291,278,16,训练集
292,876,24,训练集
293,656,15,训练集
294,643,18,训练集
295,387,14,训练集
296,167,9,训练集
297,475,20,训练集
298,517,17,训练集
299,721,17,训练集
300,469,21,训练集
301,791,28,训练集
302,418,12,训练集
303,589,23,训练集
304,821,28,训练集
305,789,23,训练集
306,447,16,训练集
307,537,22,训练集
308,875,22,训练集
309,355,11,训练集
310,291,14,训练集
311,572,20,训练集
312,494,16,训练集
313,662,23,训练集
314,1313,26,训练集
315,793,19,训练集
316,608,17,训练集
317,742,21,训练集
318,1095,27,训练集
319,532,19,训练集
320,659,20,训练集
321,708,26,训练集
322,637,19,训练集
323,527,20,训练集
324,515,28,训练集
325,804,28,训练集
326,588,17,训练集
327,913,22,训练集
328,841,23,训练集
329,734,23,训练集
330,525,21,训练集
331,593,17,训练集
332,228,17,训练集
333,666,20,训练集
334,648,25,训练集
335,546,22,训练集
336,340,20,训练集
337,560,22,训练集
338,708,23,训练集
339,373,20,训练集
340,177,21,训练集
341,648,22,训练集
342,1138,24,训练集
343,404,11,训练集
344,547,13,训练集
345,543,17,训练集
346,870,21,训练集
347,933,30,训练集
348,741,28,训练集
349,569,23,训练集
350,584,17,训练集
351,754,28,训练集
352,337,13,训练集
353,656,24,训练集
354,503,22,训练集
355,517,22,训练集
356,866,24,训练集
357,453,19,训练集
358,548,19,训练集
359,557,19,训练集
360,666,17,训练集
361,543,24,训练集
362,659,20,训练集
363,505,20,训练集
364,625,22,训练集
365,687,21,训练集
366,668,17,训练集
367,525,21,训练集
368,458,19,训练集
369,832,34,训练集
370,682,23,训练集
371,702,17,训练集
372,429,15,训练集
373,431,20,训练集
374,330,17,训练集
375,567,12,训练集
376,288,21,训练集
377,486,21,训练集
378,381,18,训练集
379,591,13,训练集
380,947,28,训练集
381,547,27,训练集
382,1095,27,训练集
383,802,20,训练集
384,432,19,训练集
385,439,16,训练集
386,413,13,训练集
387,620,21,训练集
388,700,19,训练集
389,494,16,训练集
390,567,17,训练集
391,749,25,训练集
392,695,24,训练集
393,900,25,训练集
394,761,16,训练集
395,440,17,训练集
396,379,19,训练集
397,348,19,训练集
398,542,21,训练集
399,561,19,训练集
400,926,25,训练集
401,491,19,训练集
402,715,20,训练集
403,682,19,训练集
404,373,14,训练集
405,710,21,训练集
406,716,22,训练集
407,442,20,训练集
408,827,23,训练集
409,713,23,训练集
410,747,22,训练集
411,828,30,训练集
412,348,15,训练集
413,865,20,训练集
414,990,27,训练集
415,361,20,训练集
416,453,18,训练集
417,559,20,训练集
418,486,22,训练集
419,614,29,训练集
420,511,22,训练集
421,606,25,训练集
422,733,26,训练集
423,705,24,训练集
424,806,22,训练集
425,639,23,训练集
426,489,17,训练集
427,501,23,训练集
428,583,23,训练集
429,840,24,训练集
430,776,26,训练集
431,514,14,训练集
432,783,23,训练集
433,575,21,训练集
434,825,25,训练集
435,844,28,训练集
436,419,22,训练集
437,753,21,训练集
438,653,24,训练集
439,481,17,训练集
440,658,18,训练集
441,888,27,训练集
442,711,26,训练集
443,329,15,训练集
444,529,23,训练集
445,1066,22,训练集
446,418,16,训练集
447,941,31,训练集
448,413,21,训练集
449,690,21,训练集
450,324,21,训练集
451,524,21,训练集
452,524,16,训练集
453,907,23,训练集
454,557,25,训练集
455,640,23,训练集
456,451,20,训练集
457,319,13,训练集
458,194,17,训练集
459,579,16,训练集
460,654,27,训练集
461,330,21,训练集
462,712,19,训练集
463,198,16,训练集
464,670,17,训练集
465,611,18,训练集
466,466,16,训练集
467,648,20,训练集
468,430,18,训练集
469,787,29,训练集
470,425,19,训练集
471,846,23,训练集
472,548,20,训练集
473,355,19,训练集
474,882,28,训练集
475,504,16,训练集
476,702,23,训练集
477,667,24,训练集
478,230,19,训练集
479,390,18,训练集
480,833,31,训练集
481,849,29,训练集
482,710,22,训练集
483,433,18,训练集
484,1048,29,训练集
485,308,14,训练集
486,672,18,训练集
487,552,13,训练集
488,388,23,训练集
489,515,17,训练集
490,738,19,训练集
491,494,21,训练集
492,540,22,训练集
493,629,22,训练集
494,550,23,训练集
495,628,23,训练集
496,387,14,训练集
497,576,21,训练集
498,290,10,训练集
499,549,20,训练集
500,554,19,训练集
501,611,16,训练集
502,248,12,训练集
503,942,29,训练集
504,390,20,训练集
505,891,25,训练集
506,677,17,训练集
507,835,17,训练集
508,607,18,训练集
509,619,23,训练集
510,952,21,训练集
511,424,17,训练集
512,799,23,训练集
513,293,15,训练集
514,323,17,训练集
515,545,19,训练集
516,449,23,训练集
517,661,23,训练集
518,643,18,训练集
519,741,25,训练集
520,578,25,训练集
521,653,20,训练集
522,818,26,训练集
523,342,20,训练集
524,308,14,训练集
525,670,21,训练集
526,681,24,训练集
527,735,29,训练集
528,437,13,训练集
529,737,19,训练集
530,522,20,训练集
531,1161,26,训练集
532,531,25,训练集
533,408,17,训练集
534,674,28,训练集
535,714,27,训练集
536,495,15,训练集
537,534,22,训练集
538,434,14,训练集
539,951,25,训练集
540,492,19,训练集
541,565,20,训练集
542,360,21,训练集
543,1277,32,训练集
544,613,16,训练集
545,707,25,训练集
546,495,19,训练集
547,677,21,训练集
548,686,24,训练集
549,614,19,训练集
550,556,23,训练集
551,539,23,训练集
552,276,11,训练集
553,857,29,训练集
554,672,16,训练集
555,744,26,训练集
556,991,25,训练集
557,413,18,训练集
558,470,26,训练集
559,394,21,训练集
560,566,23,训练集
561,498,21,训练集
562,672,18,训练集
563,772,28,训练集
564,496,19,训练集
565,895,22,训练集
566,446,26,训练集
567,438,19,训练集
568,706,23,训练集
569,166,14,训练集
570,580,27,训练集
571,776,19,训练集
572,729,28,训练集
573,804,27,训练集
574,375,20,训练集
575,739,28,训练集
576,413,29,训练集
577,618,18,训练集
578,240,17,训练集
579,577,21,训练集
580,422,29,训练集
581,396,18,训练集
582,495,19,训练集
583,457,19,训练集
584,292,21,训练集
585,274,14,训练集
586,585,22,训练集
587,247,10,训练集
588,1040,28,训练集
589,518,11,训练集
590,441,18,训练集
591,412,20,训练集
592,576,19,训练集
593,566,20,训练集
594,578,21,训练集
595,653,24,训练集
596,976,28,训练集
597,520,23,训练集
598,554,19,训练集
599,467,15,训练集
600,833,28,训练集
601,755,17,训练集
602,423,18,训练集
603,994,29,训练集
604,773,22,训练集
605,948,27,训练集
606,601,19,训练集
607,432,16,训练集
608,800,32,训练集
609,487,21,训练集
610,929,25,训练集
611,770,24,训练集
612,778,21,训练集
613,682,19,训练集
614,619,24,训练集
615,421,17,训练集
616,481,20,训练集
617,407,16,训练集
618,841,24,训练集
619,412,21,训练集
620,457,18,训练集
621,642,26,训练集
622,875,19,训练集
623,623,22,训练集
624,815,23,训练集
625,685,19,训练集
626,397,18,训练集
627,935,24,训练集
628,544,23,训练集
629,464,16,训练集
630,616,23,训练集
631,795,25,训练集
632,567,18,训练集
633,992,36,训练集
634,1004,21,训练集
635,770,25,训练集
636,303,16,训练集
637,720,25,训练集
638,441,16,训练集
639,576,22,训练集
640,720,25,训练集
641,521,21,训练集
642,622,29,训练集
643,356,19,训练集
644,360,14,训练集
645,714,22,训练集
646,456,20,训练集
647,449,16,训练集
648,593,22,训练集
649,564,16,训练集
650,333,19,训练集
651,742,20,训练集
652,809,25,训练集
653,379,21,训练集
654,792,24,训练集
655,861,26,训练集
656,664,26,训练集
657,354,10,训练集
658,425,14,训练集
659,763,21,训练集
660,848,21,训练集
661,528,22,训练集
662,447,24,训练集
663,612,25,训练集
664,455,16,训练集
665,579,16,训练集
666,468,21,训练集
667,517,21,训练集
668,361,15,训练集
669,703,21,训练集
670,318,16,训练集
671,927,19,训练集
672,729,25,训练集
673,501,17,训练集
674,919,26,训练集
675,500,21,训练集
676,518,17,训练集
677,349,17,训练集
678,622,24,训练集
679,814,17,训练集
680,506,16,训练集
681,987,25,训练集
682,583,13,训练集
683,865,27,训练集
684,622,23,训练集
685,528,18,训练集
686,815,21,训练集
687,691,25,训练集
688,581,14,训练集
689,666,26,训练集
690,458,23,训练集
691,600,22,训练集
692,429,18,训练集
693,638,16,训练集
694,757,23,训练集
695,777,20,训练集
696,528,16,训练集
697,623,19,训练集
698,1027,32,训练集
699,572,17,训练集
700,249,17,训练集
701,584,15,训练集
702,456,12,训练集
703,576,20,训练集
704,304,16,训练集
705,704,22,训练集
706,757,25,训练集
707,613,18,训练集
708,1159,26,训练集
709,478,19,训练集
710,436,21,训练集
711,317,20,训练集
712,640,17,训练集
713,1116,26,训练集
714,587,24,训练集
715,430,17,训练集
716,750,25,训练集
717,597,24,训练集
718,453,15,训练集
719,918,23,训练集
720,829,18,训练集
721,925,25,训练集
722,256,15,训练集
723,344,22,训练集
724,691,28,训练集
725,651,23,训练集
726,447,19,训练集
727,676,26,训练集
728,759,24,训练集
729,733,22,训练集
730,471,19,训练集
731,519,20,训练集
732,593,23,训练集
733,436,16,训练集
734,301,14,训练集
735,365,17,训练集
736,639,21,训练集
737,935,18,训练集
738,868,27,训练集
739,822,22,训练集
740,477,20,训练集
741,962,26,训练集
742,609,20,训练集
743,410,16,训练集
744,702,16,训练集
745,484,17,训练集
746,667,29,训练集
747,400,15,训练集
748,771,21,训练集
749,769,21,训练集
750,420,18,训练集
751,612,19,训练集
752,679,23,训练集
753,845,28,训练集
754,408,12,训练集
755,686,18,训练集
756,588,24,训练集
757,407,22,训练集
758,542,21,训练集
759,389,17,训练集
760,773,28,训练集
761,427,19,训练集
762,595,20,训练集
763,682,31,训练集
764,707,21,训练集
765,826,23,训练集
766,489,21,训练集
767,600,20,训练集
768,434,20,训练集
769,770,21,训练集
770,535,21,训练集
771,437,25,训练集
772,407,19,训练集
773,615,24,训练集
774,708,22,训练集
775,413,14,训练集
776,374,19,训练集
777,488,26,训练集
778,797,28,训练集
779,401,18,训练集
780,686,20,训练集
781,388,19,训练集
782,635,23,训练集
783,735,22,训练集
784,489,15,训练集
785,288,9,训练集
786,590,19,训练集
787,993,26,训练集
788,519,23,训练集
789,748,20,训练集
790,545,25,训练集
791,604,20,训练集
792,643,22,训练集
793,757,26,训练集
794,617,17,训练集
795,432,18,训练集
796,545,21,训练集
797,531,26,训练集
798,601,15,训练集
799,558,24,训练集
800,471,14,训练集
801,540,21,训练集
802,498,19,训练集
803,478,21,训练集
804,646,25,训练集
805,526,21,训练集
806,482,19,训练集
807,532,17,训练集
808,481,17,训练集
809,259,13,训练集
810,591,23,训练集
811,468,14,训练集
812,676,27,训练集
813,771,17,训练集
814,371,18,训练集
815,630,22,训练集
816,548,22,训练集
817,404,20,训练集
818,706,24,训练集
819,1143,28,训练集
820,629,16,训练集
821,434,13,训练集
822,711,24,训练集
823,547,21,训练集
824,666,23,训练集
825,255,13,训练集
826,663,19,训练集
827,534,24,训练集
828,424,24,训练集
829,586,14,训练集
830,840,27,训练集
831,646,22,训练集
832,596,18,训练集
833,424,16,训练集
834,464,19,训练集
835,501,21,训练集
836,807,21,训练集
837,569,23,训练集
838,766,21,训练集
839,618,23,训练集
840,314,14,训练集
841,658,17,训练集
842,570,23,训练集
843,845,24,训练集
844,721,23,训练集
845,175,11,训练集
846,417,17,训练集
847,689,17,训练集
848,640,23,训练集
849,644,18,训练集
850,651,24,训练集
851,477,24,训练集
852,529,16,训练集
853,561,23,训练集
854,455,20,训练集
855,502,14,训练集
856,808,21,训练集
857,316,15,训练集
858,525,26,训练集
859,876,27,训练集
860,441,17,训练集
861,1172,27,训练集
862,892,19,训练集
863,530,23,训练集
864,177,18,训练集
865,511,23,训练集
866,243,15,训练集
867,682,22,训练集
868,800,22,训练集
869,852,20,训练集
870,825,22,训练集
871,688,16,训练集
872,555,17,训练集
873,662,22,训练集
874,331,16,训练集
875,388,19,训练集
876,389,19,训练集
877,908,19,训练集
878,215,14,训练集
879,1007,25,训练集
880,595,16,训练集
881,489,21,训练集
882,781,27,训练集
883,593,22,训练集
884,511,12,训练集
885,576,18,训练集
886,375,25,训练集
887,694,30,训练集
888,394,28,训练集
889,877,26,训练集
890,598,14,训练集
891,697,29,训练集
892,767,35,训练集
893,571,19,训练集
894,539,21,训练集
895,545,15,训练集
896,748,27,训练集
897,563,24,训练集
898,419,15,训练集
899,572,15,训练集
900,540,17,训练集
901,288,16,训练集
902,947,28,训练集
903,372,24,训练集
904,420,15,训练集
905,428,16,训练集
906,675,22,训练集
907,414,14,训练集
908,373,16,训练集
909,1148,23,训练集
910,705,24,训练集
911,1149,27,训练集
912,609,28,训练集
913,998,26,训练集
914,686,24,训练集
915,331,20,训练集
916,759,20,训练集
917,578,17,训练集
918,562,21,训练集
919,568,20,训练集
920,659,17,训练集
921,704,18,训练集
922,327,18,训练集
923,755,16,训练集
924,374,15,训练集
925,658,17,训练集
926,270,14,训练集
927,514,17,训练集
928,838,24,训练集
929,356,22,训练集
930,556,20,训练集
931,579,24,训练集
932,628,19,训练集
933,836,28,训练集
934,458,19,训练集
935,555,18,训练集
936,895,24,训练集
937,282,22,训练集
938,488,17,训练集
939,381,19,训练集
940,877,21,训练集
941,693,21,训练集
942,788,22,训练集
943,1024,21,训练集
944,831,21,训练集
945,362,17,训练集
946,548,20,训练集
947,907,23,训练集
948,642,19,训练集
949,364,22,训练集
950,593,27,训练集
951,736,18,训练集
952,986,31,训练集
953,667,19,训练集
954,510,17,训练集
955,445,19,训练集
956,240,16,训练集
957,595,21,训练集
958,462,17,训练集
959,537,21,训练集
960,652,16,训练集
961,547,20,训练集
962,680,26,训练集
963,615,27,训练集
964,419,16,训练集
965,593,26,训练集
966,650,22,训练集
967,843,30,训练集
968,729,22,训练集
969,810,19,训练集
970,571,16,训练集
971,493,16,训练集
972,594,18,训练集
973,519,27,训练集
974,74,9,训练集
975,249,19,训练集
976,316,12,训练集
977,672,20,训练集
978,462,17,训练集
979,608,20,训练集
980,1023,24,训练集
981,317,20,训练集
982,382,18,训练集
983,625,18,训练集
984,398,22,训练集
985,602,19,训练集
986,519,21,训练集
987,572,24,训练集
988,192,11,训练集
989,571,13,训练集
990,803,19,训练集
991,1109,30,训练集
992,980,32,训练集
993,529,15,训练集
994,290,20,训练集
995,215,14,训练集
996,591,20,训练集
997,246,16,训练集
998,739,28,训练集
999,731,21,训练集
1000,588,26,训练集
1001,756,33,训练集
1002,1012,24,训练集
1003,432,16,训练集
1004,490,16,训练集
1005,800,22,训练集
1006,701,29,训练集
1007,436,23,训练集
1008,512,19,训练集
1009,742,22,训练集
1010,822,27,训练集
1011,742,21,训练集
1012,654,22,训练集
1013,542,22,训练集
1014,718,19,训练集
1015,335,13,训练集
1016,825,32,训练集
1017,523,23,训练集
1018,585,25,训练集
1019,725,24,训练集
1020,365,20,训练集
1021,466,17,训练集
1022,597,25,训练集
1023,578,28,训练集
1024,1011,30,训练集
1025,986,21,训练集
1026,1042,22,训练集
1027,582,19,训练集
1028,503,23,训练集
1029,460,21,训练集
1030,377,16,训练集
1031,436,18,训练集
1032,956,26,训练集
1033,593,20,训练集
1034,657,19,训练集
1035,712,25,训练集
1036,722,18,训练集
1037,310,9,训练集
1038,116,13,训练集
1039,489,16,训练集
1040,627,13,训练集
1041,610,23,训练集
1042,496,17,训练集
1043,569,20,训练集
1044,646,15,训练集
1045,670,27,训练集
1046,650,29,训练集
1047,831,23,训练集
1048,425,21,训练集
1049,438,16,训练集
1050,686,16,训练集
1051,464,15,训练集
1052,325,19,训练集
1053,1040,27,训练集
1054,681,21,训练集
1055,545,15,训练集
1056,686,21,训练集
1057,655,33,训练集
1058,374,18,训练集
1059,736,25,训练集
1060,468,15,训练集
1061,508,19,训练集
1062,292,12,训练集
1063,779,28,训练集
1064,375,13,训练集
1065,489,25,训练集
1066,551,25,训练集
1067,474,21,训练集
1068,555,22,训练集
1069,675,29,训练集
1070,389,14,训练集
1071,786,27,训练集
1072,978,29,训练集
1073,380,18,训练集
1074,583,21,训练集
1075,505,23,训练集
1076,983,27,训练集
1077,519,15,训练集
1078,525,17,训练集
1079,691,21,训练集
1080,369,20,训练集
1081,464,15,训练集
1082,363,17,训练集
1083,615,23,训练集
1084,558,18,训练集
1085,497,17,训练集
1086,898,26,训练集
1087,368,15,训练集
1088,661,19,训练集
1089,848,19,训练集
1090,683,18,训练集
1091,516,19,训练集
1092,634,17,训练集
1093,747,19,训练集
1094,537,20,训练集
1095,617,17,训练集
1096,680,27,训练集
1097,203,19,训练集
1098,528,21,训练集
1099,757,21,训练集
1100,744,25,训练集
1101,761,21,训练集
1102,373,16,训练集
1103,986,28,训练集
1104,636,19,训练集
1105,282,15,训练集
1106,613,17,训练集
1107,894,27,训练集
1108,833,25,训练集
1109,491,18,训练集
1110,479,18,训练集
1111,644,23,训练集
1112,882,23,训练集
1113,709,20,训练集
1114,807,26,训练集
1115,383,19,训练集
1116,896,31,训练集
1117,524,15,训练集
1118,615,16,训练集
1119,1262,32,训练集
1120,442,15,训练集
1121,846,27,训练集
1122,459,21,训练集
1123,480,22,训练集
1124,563,22,训练集
1125,403,12,训练集
1126,418,14,训练集
1127,579,19,训练集
1128,686,24,训练集
1129,96,9,训练集
1130,603,21,训练集
1131,483,18,训练集
1132,417,17,训练集
1133,331,16,训练集
1134,554,19,训练集
1135,436,20,训练集
1136,533,18,训练集
1137,759,19,训练集
1138,503,22,训练集
1139,1032,30,训练集
1140,719,25,训练集
1141,559,19,训练集
1142,507,20,训练集
1143,462,19,训练集
1144,923,25,训练集
1145,578,18,训练集
1146,712,21,训练集
1147,595,17,训练集
1148,558,17,训练集
1149,571,14,训练集
1150,663,20,训练集
1151,501,15,训练集
1152,379,19,训练集
1153,810,24,训练集
1154,834,30,训练集
1155,392,17,训练集
1156,521,18,训练集
1157,405,19,训练集
1158,268,21,训练集
1159,956,23,训练集
1160,420,20,训练集
1161,494,17,训练集
1162,823,20,训练集
1163,450,15,训练集
1164,583,16,训练集
1165,518,26,训练集
1166,254,19,训练集
1167,654,29,训练集
1168,601,21,训练集
1169,341,21,训练集
1170,549,18,训练集
1171,406,10,训练集
1172,199,12,训练集
1173,707,23,训练集
1174,819,24,训练集
1175,577,23,训练集
1176,606,20,训练集
1177,597,16,训练集
1178,764,19,训练集
1179,908,26,训练集
1180,431,13,训练集
1181,658,24,训练集
1182,630,18,训练集
1183,903,24,训练集
1184,530,17,训练集
1185,850,24,训练集
1186,539,17,训练集
1187,967,28,训练集
1188,409,20,训练集
1189,440,13,训练集
1190,661,26,训练集
1191,693,25,训练集
1192,734,21,训练集
1193,888,23,训练集
1194,350,17,训练集
1195,837,28,训练集
1196,582,16,训练集
1197,584,21,训练集
1198,406,15,训练集
1199,427,17,训练集
1200,545,19,训练集
1201,747,25,训练集
1202,400,21,训练集
1203,957,22,训练集
1204,736,26,训练集
1205,297,17,训练集
1206,914,21,训练集
1207,257,17,训练集
1208,842,21,训练集
1209,510,18,训练集
1210,771,22,训练集
1211,1216,28,训练集
1212,563,17,训练集
1213,448,19,训练集
1214,394,13,训练集
1215,771,21,训练集
1216,501,23,训练集
1217,676,21,训练集
1218,695,21,训练集
1219,560,19,训练集
1220,656,13,训练集
1221,537,20,训练集
1222,1073,34,训练集
1223,843,17,训练集
1224,1051,22,训练集
1225,740,27,训练集
1226,468,22,训练集
1227,546,24,训练集
1228,873,24,训练集
1229,618,30,训练集
1230,544,19,训练集
1231,1077,30,训练集
1232,879,22,训练集
1233,796,23,训练集
1234,705,22,训练集
1235,1015,27,训练集
1236,403,20,训练集
1237,362,18,训练集
1238,476,17,训练集
1239,1059,29,训练集
1240,789,26,训练集
1241,583,17,训练集
1242,747,24,训练集
1243,431,17,训练集
1244,790,18,训练集
1245,1022,30,训练集
1246,674,15,训练集
1247,617,22,训练集
1248,594,18,训练集
1249,259,15,训练集
1250,708,20,训练集
1251,651,24,训练集
1252,1164,31,训练集
1253,739,22,训练集
1254,751,19,训练集
1255,493,17,训练集
1256,539,15,训练集
1257,359,13,训练集
1258,558,19,训练集
1259,773,28,训练集
1260,254,12,训练集
1261,737,22,训练集
1262,509,22,训练集
1263,680,21,训练集
1264,509,14,训练集
1265,616,17,训练集
1266,652,23,训练集
1267,653,24,训练集
1268,557,22,训练集
1269,298,17,训练集
1270,860,26,训练集
1271,921,24,训练集
1272,242,16,训练集
1273,633,22,训练集
1274,504,16,训练集
1275,353,16,训练集
1276,645,22,训练集
1277,628,23,训练集
1278,818,25,训练集
1279,677,17,训练集
1280,351,12,训练集
1281,932,24,训练集
1282,1014,29,训练集
1283,601,21,训练集
1284,757,25,训练集
1285,614,12,训练集
1286,340,15,训练集
1287,578,17,训练集
1288,644,24,训练集
1289,392,20,训练集
1290,439,18,训练集
1291,508,23,训练集
1292,211,16,训练集
1293,549,15,训练集
1294,260,25,训练集
1295,743,23,训练集
1296,416,20,训练集
1297,463,26,训练集
1298,1211,28,训练集
1299,668,29,训练集
1300,685,18,训练集
1301,369,20,训练集
1302,535,19,训练集
1303,894,28,训练集
1304,729,21,训练集
1305,395,13,训练集
1306,551,23,训练集
1307,714,23,训练集
1308,587,26,训练集
1309,527,25,训练集
1310,616,21,训练集
1311,914,28,训练集
1312,897,30,训练集
1313,585,18,训练集
1314,921,23,训练集
1315,546,27,训练集
1316,366,15,训练集
1317,1188,32,训练集
1318,502,25,训练集
1319,850,28,训练集
1320,298,14,训练集
1321,740,21,训练集
1322,482,19,训练集
1323,536,18,训练集
1324,817,24,训练集
1325,395,24,训练集
1326,399,15,训练集
1327,633,19,训练集
1328,462,22,训练集
1329,767,19,训练集
1330,561,18,训练集
1331,833,17,训练集
1332,741,22,训练集
1333,547,14,训练集
1334,625,18,训练集
1335,391,26,训练集
1336,274,18,训练集
1337,511,23,训练集
1338,558,20,训练集
1339,647,19,训练集
1340,822,28,训练集
1341,522,18,训练集
1342,633,27,训练集
1343,348,17,训练集
1344,914,24,训练集
1345,584,18,训练集
1346,722,15,训练集
1347,380,14,训练集
1348,481,19,训练集
1349,397,14,训练集
1350,923,23,训练集
1351,390,16,训练集
1352,437,21,训练集
1353,703,26,训练集
