到达小时,图形处理器总需求,任务数
361,543,24
362,659,20
363,505,20
364,625,22
365,687,21
366,668,17
367,525,21
368,458,19
369,832,34
370,682,23
371,702,17
372,429,15
373,431,20
374,330,17
375,567,12
376,288,21
377,486,21
378,381,18
379,591,13
380,947,28
381,547,27
382,1095,27
383,802,20
384,432,19
385,439,16
386,413,13
387,620,21
388,700,19
389,494,16
390,567,17
391,749,25
392,695,24
393,900,25
394,761,16
395,440,17
396,379,19
397,348,19
398,542,21
399,561,19
400,926,25
401,491,19
402,715,20
403,682,19
404,373,14
405,710,21
406,716,22
407,442,20
408,827,23
409,713,23
410,747,22
411,828,30
412,348,15
413,865,20
414,990,27
415,361,20
416,453,18
417,559,20
418,486,22
419,614,29
420,511,22
421,606,25
422,733,26
423,705,24
424,806,22
425,639,23
426,489,17
427,501,23
428,583,23
429,840,24
430,776,26
431,514,14
432,783,23
433,575,21
434,825,25
435,844,28
436,419,22
437,753,21
438,653,24
439,481,17
440,658,18
441,888,27
442,711,26
443,329,15
444,529,23
445,1066,22
446,418,16
447,941,31
448,413,21
449,690,21
450,324,21
451,524,21
452,524,16
453,907,23
454,557,25
455,640,23
456,451,20
457,319,13
458,194,17
459,579,16
460,654,27
461,330,21
462,712,19
463,198,16
464,670,17
465,611,18
466,466,16
467,648,20
468,430,18
469,787,29
470,425,19
471,846,23
472,548,20
473,355,19
474,882,28
475,504,16
476,702,23
477,667,24
478,230,19
479,390,18
480,833,31
481,849,29
482,710,22
483,433,18
484,1048,29
485,308,14
486,672,18
487,552,13
488,388,23
489,515,17
490,738,19
491,494,21
492,540,22
493,629,22
494,550,23
495,628,23
496,387,14
497,576,21
498,290,10
499,549,20
500,554,19
501,611,16
502,248,12
503,942,29
504,390,20
505,891,25
506,677,17
507,835,17
508,607,18
509,619,23
510,952,21
511,424,17
512,799,23
513,293,15
514,323,17
515,545,19
516,449,23
517,661,23
518,643,18
519,741,25
520,578,25
521,653,20
522,818,26
523,342,20
524,308,14
525,670,21
526,681,24
527,735,29
528,437,13
529,737,19
530,522,20
531,1161,26
532,531,25
533,408,17
534,674,28
535,714,27
536,495,15
537,534,22
538,434,14
539,951,25
540,492,19
541,565,20
542,360,21
543,1277,32
544,613,16
545,707,25
546,495,19
547,677,21
548,686,24
549,614,19
550,556,23
551,539,23
552,276,11
553,857,29
554,672,16
555,744,26
556,991,25
557,413,18
558,470,26
559,394,21
560,566,23
561,498,21
562,672,18
563,772,28
564,496,19
565,895,22
566,446,26
567,438,19
568,706,23
569,166,14
570,580,27
571,776,19
572,729,28
573,804,27
574,375,20
575,739,28
576,413,29
577,618,18
578,240,17
579,577,21
580,422,29
581,396,18
582,495,19
583,457,19
584,292,21
585,274,14
586,585,22
587,247,10
588,1040,28
589,518,11
590,441,18
591,412,20
592,576,19
593,566,20
594,578,21
595,653,24
596,976,28
597,520,23
598,554,19
599,467,15
600,833,28
601,755,17
602,423,18
603,994,29
604,773,22
605,948,27
606,601,19
607,432,16
608,800,32
609,487,21
610,929,25
611,770,24
612,778,21
613,682,19
614,619,24
615,421,17
616,481,20
617,407,16
618,841,24
619,412,21
620,457,18
621,642,26
622,875,19
623,623,22
624,815,23
625,685,19
626,397,18
627,935,24
628,544,23
629,464,16
630,616,23
631,795,25
632,567,18
633,992,36
634,1004,21
635,770,25
636,303,16
637,720,25
638,441,16
639,576,22
640,720,25
641,521,21
642,622,29
643,356,19
644,360,14
645,714,22
646,456,20
647,449,16
648,593,22
649,564,16
650,333,19
651,742,20
652,809,25
653,379,21
654,792,24
655,861,26
656,664,26
657,354,10
658,425,14
659,763,21
660,848,21
661,528,22
662,447,24
663,612,25
664,455,16
665,579,16
666,468,21
667,517,21
668,361,15
669,703,21
670,318,16
671,927,19
672,729,25
673,501,17
674,919,26
675,500,21
676,518,17
677,349,17
678,622,24
679,814,17
680,506,16
681,987,25
682,583,13
683,865,27
684,622,23
685,528,18
686,815,21
687,691,25
688,581,14
689,666,26
690,458,23
691,600,22
692,429,18
693,638,16
694,757,23
695,777,20
696,528,16
697,623,19
698,1027,32
699,572,17
700,249,17
701,584,15
702,456,12
703,576,20
704,304,16
705,704,22
706,757,25
707,613,18
708,1159,26
709,478,19
710,436,21
711,317,20
712,640,17
713,1116,26
714,587,24
715,430,17
716,750,25
717,597,24
718,453,15
719,918,23
720,829,18
721,925,25
722,256,15
723,344,22
724,691,28
725,651,23
726,447,19
727,676,26
728,759,24
729,733,22
730,471,19
731,519,20
732,593,23
733,436,16
734,301,14
735,365,17
736,639,21
737,935,18
738,868,27
739,822,22
740,477,20
741,962,26
742,609,20
743,410,16
744,702,16
745,484,17
746,667,29
747,400,15
748,771,21
749,769,21
750,420,18
751,612,19
752,679,23
753,845,28
754,408,12
755,686,18
756,588,24
757,407,22
758,542,21
759,389,17
760,773,28
761,427,19
762,595,20
763,682,31
764,707,21
765,826,23
766,489,21
767,600,20
768,434,20
769,770,21
770,535,21
771,437,25
772,407,19
773,615,24
774,708,22
775,413,14
776,374,19
777,488,26
778,797,28
779,401,18
780,686,20
781,388,19
782,635,23
783,735,22
784,489,15
785,288,9
786,590,19
787,993,26
788,519,23
789,748,20
790,545,25
791,604,20
792,643,22
793,757,26
794,617,17
795,432,18
796,545,21
797,531,26
798,601,15
799,558,24
800,471,14
801,540,21
802,498,19
803,478,21
804,646,25
805,526,21
806,482,19
807,532,17
808,481,17
809,259,13
810,591,23
811,468,14
812,676,27
813,771,17
814,371,18
815,630,22
816,548,22
817,404,20
818,706,24
819,1143,28
820,629,16
821,434,13
822,711,24
823,547,21
824,666,23
825,255,13
826,663,19
827,534,24
828,424,24
829,586,14
830,840,27
831,646,22
832,596,18
833,424,16
834,464,19
835,501,21
836,807,21
837,569,23
838,766,21
839,618,23
840,314,14
841,658,17
842,570,23
843,845,24
844,721,23
845,175,11
846,417,17
847,689,17
848,640,23
849,644,18
850,651,24
851,477,24
852,529,16
853,561,23
854,455,20
855,502,14
856,808,21
857,316,15
858,525,26
859,876,27
860,441,17
861,1172,27
862,892,19
863,530,23
864,177,18
865,511,23
866,243,15
867,682,22
868,800,22
869,852,20
870,825,22
871,688,16
872,555,17
873,662,22
874,331,16
875,388,19
876,389,19
877,908,19
878,215,14
879,1007,25
880,595,16
881,489,21
882,781,27
883,593,22
884,511,12
885,576,18
886,375,25
887,694,30
888,394,28
889,877,26
890,598,14
891,697,29
892,767,35
893,571,19
894,539,21
895,545,15
896,748,27
897,563,24
898,419,15
899,572,15
900,540,17
901,288,16
902,947,28
903,372,24
904,420,15
905,428,16
906,675,22
907,414,14
908,373,16
909,1148,23
910,705,24
911,1149,27
912,609,28
913,998,26
914,686,24
915,331,20
916,759,20
917,578,17
918,562,21
919,568,20
920,659,17
921,704,18
922,327,18
923,755,16
924,374,15
925,658,17
926,270,14
927,514,17
928,838,24
929,356,22
930,556,20
931,579,24
932,628,19
933,836,28
934,458,19
935,555,18
936,895,24
937,282,22
938,488,17
939,381,19
940,877,21
941,693,21
942,788,22
943,1024,21
944,831,21
945,362,17
946,548,20
947,907,23
948,642,19
949,364,22
950,593,27
951,736,18
952,986,31
953,667,19
954,510,17
955,445,19
956,240,16
957,595,21
958,462,17
959,537,21
960,652,16
961,547,20
962,680,26
963,615,27
964,419,16
965,593,26
966,650,22
967,843,30
968,729,22
969,810,19
970,571,16
971,493,16
972,594,18
973,519,27
974,74,9
975,249,19
976,316,12
977,672,20
978,462,17
979,608,20
980,1023,24
981,317,20
982,382,18
983,625,18
984,398,22
985,602,19
986,519,21
987,572,24
988,192,11
989,571,13
990,803,19
991,1109,30
992,980,32
993,529,15
994,290,20
995,215,14
996,591,20
997,246,16
998,739,28
999,731,21
1000,588,26
1001,756,33
1002,1012,24
1003,432,16
1004,490,16
1005,800,22
1006,701,29
1007,436,23
1008,512,19
1009,742,22
1010,822,27
1011,742,21
1012,654,22
1013,542,22
1014,718,19
1015,335,13
1016,825,32
1017,523,23
1018,585,25
1019,725,24
1020,365,20
1021,466,17
1022,597,25
1023,578,28
1024,1011,30
1025,986,21
1026,1042,22
1027,582,19
1028,503,23
1029,460,21
1030,377,16
1031,436,18
1032,956,26
1033,593,20
1034,657,19
1035,712,25
1036,722,18
1037,310,9
1038,116,13
1039,489,16
1040,627,13
1041,610,23
1042,496,17
1043,569,20
1044,646,15
1045,670,27
1046,650,29
1047,831,23
1048,425,21
1049,438,16
1050,686,16
1051,464,15
1052,325,19
1053,1040,27
1054,681,21
1055,545,15
1056,686,21
1057,655,33
1058,374,18
1059,736,25
1060,468,15
1061,508,19
1062,292,12
1063,779,28
1064,375,13
1065,489,25
1066,551,25
1067,474,21
1068,555,22
1069,675,29
1070,389,14
1071,786,27
1072,978,29
1073,380,18
1074,583,21
1075,505,23
1076,983,27
1077,519,15
1078,525,17
1079,691,21
1080,369,20
1081,464,15
1082,363,17
1083,615,23
1084,558,18
1085,497,17
1086,898,26
1087,368,15
1088,661,19
1089,848,19
1090,683,18
1091,516,19
1092,634,17
1093,747,19
1094,537,20
1095,617,17
1096,680,27
1097,203,19
1098,528,21
1099,757,21
1100,744,25
1101,761,21
1102,373,16
1103,986,28
1104,636,19
1105,282,15
1106,613,17
1107,894,27
1108,833,25
1109,491,18
1110,479,18
1111,644,23
1112,882,23
1113,709,20
1114,807,26
1115,383,19
1116,896,31
1117,524,15
1118,615,16
1119,1262,32
1120,442,15
1121,846,27
1122,459,21
1123,480,22
1124,563,22
1125,403,12
1126,418,14
1127,579,19
1128,686,24
1129,96,9
1130,603,21
1131,483,18
1132,417,17
1133,331,16
1134,554,19
1135,436,20
1136,533,18
1137,759,19
1138,503,22
1139,1032,30
1140,719,25
1141,559,19
1142,507,20
1143,462,19
1144,923,25
1145,578,18
1146,712,21
1147,595,17
1148,558,17
1149,571,14
1150,663,20
1151,501,15
1152,379,19
1153,810,24
1154,834,30
1155,392,17
1156,521,18
1157,405,19
1158,268,21
1159,956,23
1160,420,20
1161,494,17
1162,823,20
1163,450,15
1164,583,16
1165,518,26
1166,254,19
1167,654,29
1168,601,21
1169,341,21
1170,549,18
1171,406,10
1172,199,12
1173,707,23
1174,819,24
1175,577,23
1176,606,20
1177,597,16
1178,764,19
1179,908,26
1180,431,13
1181,658,24
1182,630,18
1183,903,24
1184,530,17
1185,850,24
1186,539,17
1187,967,28
1188,409,20
1189,440,13
1190,661,26
1191,693,25
1192,734,21
1193,888,23
1194,350,17
1195,837,28
1196,582,16
1197,584,21
1198,406,15
1199,427,17
1200,545,19
1201,747,25
1202,400,21
1203,957,22
1204,736,26
1205,297,17
1206,914,21
1207,257,17
1208,842,21
1209,510,18
1210,771,22
1211,1216,28
1212,563,17
1213,448,19
1214,394,13
1215,771,21
1216,501,23
1217,676,21
1218,695,21
1219,560,19
1220,656,13
1221,537,20
1222,1073,34
1223,843,17
1224,1051,22
1225,740,27
1226,468,22
1227,546,24
1228,873,24
1229,618,30
1230,544,19
1231,1077,30
1232,879,22
1233,796,23
1234,705,22
1235,1015,27
1236,403,20
1237,362,18
1238,476,17
1239,1059,29
1240,789,26
1241,583,17
1242,747,24
1243,431,17
1244,790,18
1245,1022,30
1246,674,15
1247,617,22
1248,594,18
1249,259,15
1250,708,20
1251,651,24
1252,1164,31
1253,739,22
1254,751,19
1255,493,17
1256,539,15
1257,359,13
1258,558,19
1259,773,28
1260,254,12
1261,737,22
1262,509,22
1263,680,21
1264,509,14
1265,616,17
1266,652,23
1267,653,24
1268,557,22
1269,298,17
1270,860,26
1271,921,24
1272,242,16
1273,633,22
1274,504,16
1275,353,16
1276,645,22
1277,628,23
1278,818,25
1279,677,17
1280,351,12
1281,932,24
1282,1014,29
1283,601,21
1284,757,25
1285,614,12
1286,340,15
1287,578,17
1288,644,24
1289,392,20
1290,439,18
1291,508,23
1292,211,16
1293,549,15
1294,260,25
1295,743,23
1296,416,20
1297,463,26
1298,1211,28
1299,668,29
1300,685,18
1301,369,20
1302,535,19
1303,894,28
1304,729,21
1305,395,13
1306,551,23
1307,714,23
1308,587,26
1309,527,25
1310,616,21
1311,914,28
1312,897,30
1313,585,18
1314,921,23
1315,546,27
1316,366,15
1317,1188,32
1318,502,25
1319,850,28
1320,298,14
1321,740,21
1322,482,19
1323,536,18
1324,817,24
1325,395,24
1326,399,15
1327,633,19
1328,462,22
1329,767,19
1330,561,18
1331,833,17
1332,741,22
1333,547,14
1334,625,18
1335,391,26
1336,274,18
1337,511,23
1338,558,20
1339,647,19
1340,822,28
1341,522,18
1342,633,27
1343,348,17
1344,914,24
1345,584,18
1346,722,15
1347,380,14
1348,481,19
1349,397,14
1350,923,23
1351,390,16
1352,437,21
1353,703,26
1354,737,22
1355,664,22
1356,862,26
1357,899,26
1358,535,18
1359,758,21
1360,609,21
1361,507,18
1362,463,17
1363,540,25
1364,617,18
1365,512,19
1366,708,26
1367,648,16
1368,671,21
1369,663,25
1370,774,19
1371,1120,25
1372,593,22
1373,488,15
1374,756,21
1375,753,17
1376,475,19
1377,846,28
1378,614,21
1379,688,31
1380,296,12
1381,605,31
1382,574,22
1383,786,18
1384,1235,28
1385,520,18
1386,557,19
1387,531,18
1388,339,23
1389,505,18
1390,727,21
1391,437,15
1392,624,20
1393,653,27
1394,301,17
1395,643,20
1396,481,16
1397,593,17
1398,597,24
1399,792,23
1400,445,11
1401,435,18
1402,419,19
1403,602,20
1404,705,21
1405,486,16
1406,736,24
1407,412,14
1408,227,24
1409,645,20
1410,574,25
1411,461,22
1412,752,22
1413,464,18
1414,850,27
1415,325,14
1416,449,20
1417,438,12
1418,814,28
1419,444,20
1420,465,17
1421,526,22
1422,335,18
1423,737,23
1424,517,21
1425,684,16
1426,558,20
1427,547,18
1428,639,17
1429,304,18
1430,392,16
1431,589,19
1432,552,17
1433,749,21
1434,233,17
1435,275,11
1436,612,16
1437,407,18
1438,568,20
1439,503,17
1440,542,19
1441,587,19
1442,501,14
1443,646,17
1444,756,27
1445,906,18
1446,523,23
1447,165,12
1448,336,16
1449,916,29
1450,491,14
1451,375,15
1452,533,20
1453,411,22
1454,718,21
1455,356,18
1456,556,20
1457,743,22
1458,764,22
1459,258,22
1460,481,23
1461,389,16
1462,710,19
1463,890,16
1464,571,19
1465,423,20
1466,703,27
1467,909,22
1468,911,19
1469,667,24
1470,724,19
1471,610,18
1472,706,26
1473,643,16
1474,777,25
1475,462,24
1476,738,35
1477,678,29
1478,268,12
1479,517,20
1480,312,19
1481,761,24
1482,665,20
1483,628,25
1484,545,23
1485,299,19
1486,503,17
1487,648,23
1488,750,23
1489,778,23
1490,615,29
1491,506,19
1492,1036,23
1493,698,22
1494,328,16
1495,573,23
1496,949,21
1497,859,18
1498,734,21
1499,629,19
1500,544,21
1501,312,14
1502,503,16
1503,568,18
1504,594,14
1505,593,22
1506,398,18
1507,826,26
1508,863,23
1509,719,25
1510,536,13
1511,1300,25
1512,822,18
1513,350,15
1514,430,21
1515,663,24
1516,471,15
1517,701,24
1518,515,18
1519,1029,30
1520,434,14
1521,414,19
1522,864,19
1523,353,14
1524,696,20
1525,276,18
1526,586,15
1527,702,26
1528,1262,34
1529,367,19
1530,578,27
1531,661,20
1532,880,25
1533,337,19
1534,430,21
1535,237,16
1536,632,20
1537,999,24
1538,450,13
1539,548,26
1540,597,21
1541,1042,27
1542,461,19
1543,659,24
1544,716,25
1545,421,25
1546,1255,26
1547,550,26
1548,208,17
1549,372,11
1550,552,24
1551,493,21
1552,432,15
1553,501,17
1554,264,12
1555,709,28
1556,1083,27
1557,926,24
1558,651,23
1559,652,24
1560,680,19
1561,872,27
1562,820,27
1563,385,16
1564,492,22
1565,515,15
1566,444,23
1567,524,21
1568,538,17
1569,670,20
1570,627,19
1571,327,20
1572,483,26
1573,616,25
1574,1236,27
1575,247,17
1576,557,25
1577,385,18
1578,687,28
1579,541,21
1580,562,17
1581,536,16
1582,956,27
1583,572,19
1584,564,19
1585,597,20
1586,742,23
1587,594,33
1588,571,23
1589,356,16
1590,616,21
1591,582,20
1592,679,18
1593,733,28
1594,1035,21
1595,872,21
1596,928,25
1597,908,26
1598,960,22
1599,1234,27
1600,677,22
1601,239,19
1602,462,23
1603,302,16
1604,605,19
1605,813,20
1606,538,19
1607,506,21
1608,745,20
1609,808,31
1610,729,19
1611,687,27
1612,545,14
1613,799,20
1614,733,19
1615,643,18
1616,576,25
1617,941,24
1618,690,24
1619,629,17
1620,218,19
1621,265,21
1622,611,21
1623,343,25
1624,610,21
1625,454,26
1626,515,22
1627,542,21
1628,936,22
1629,915,27
1630,664,26
1631,883,21
1632,770,21
1633,314,11
1634,804,25
1635,1025,23
1636,312,13
1637,416,21
1638,278,18
1639,1152,35
1640,379,16
1641,823,25
1642,428,17
1643,251,18
1644,848,32
1645,835,25
1646,781,22
1647,532,20
1648,464,18
1649,521,18
1650,794,26
1651,761,23
1652,698,25
1653,567,17
1654,798,22
1655,864,29
1656,732,26
1657,1140,26
1658,507,20
1659,725,23
1660,850,24
1661,256,17
1662,526,20
1663,638,24
1664,841,26
1665,429,21
1666,357,13
1667,938,30
1668,393,22
1669,741,22
1670,551,22
1671,744,27
1672,606,17
1673,699,27
1674,473,19
1675,289,14
1676,684,21
1677,402,18
1678,748,22
1679,416,21
1680,465,18
1681,572,19
1682,639,26
1683,755,28
1684,875,27
1685,634,16
1686,609,19
1687,713,20
1688,839,17
1689,518,19
1690,569,24
1691,1202,28
1692,1020,29
1693,376,15
1694,686,23
1695,931,26
1696,507,22
1697,731,25
1698,755,19
1699,397,19
1700,353,21
1701,629,24
1702,681,21
1703,515,19
1704,327,17
1705,708,19
1706,545,23
1707,937,23
1708,414,14
1709,831,18
1710,714,27
1711,455,18
1712,694,18
1713,820,20
1714,694,24
1715,908,25
1716,405,20
1717,698,28
1718,505,22
1719,579,21
1720,318,21
1721,407,17
1722,985,21
1723,844,17
1724,395,23
1725,630,17
1726,379,13
1727,964,24
1728,659,23
1729,359,18
1730,769,23
1731,647,18
1732,705,22
1733,767,25
1734,454,23
1735,394,22
1736,681,24
1737,1280,30
1738,512,17
1739,250,15
1740,643,16
1741,593,18
1742,457,12
1743,587,25
1744,547,18
1745,555,17
1746,703,24
1747,802,22
1748,453,15
1749,761,24
1750,524,17
1751,636,12
1752,539,21
1753,434,19
1754,541,20
1755,690,26
1756,769,19
1757,547,20
1758,1053,29
1759,555,20
1760,342,18
1761,770,17
1762,122,8
1763,1017,25
1764,1109,25
1765,457,24
1766,472,21
1767,671,25
1768,910,20
1769,549,23
1770,475,26
1771,790,25
1772,749,24
1773,203,13
1774,583,15
1775,952,27
1776,1018,32
1777,758,20
1778,592,24
1779,917,24
1780,613,21
1781,485,13
1782,952,25
1783,841,21
1784,428,17
1785,316,16
1786,652,21
1787,351,16
1788,637,18
1789,778,24
1790,417,14
1791,145,15
1792,939,29
1793,773,22
1794,510,19
1795,396,18
1796,540,22
1797,427,23
1798,725,35
1799,416,16
1800,694,24
1801,613,27
1802,648,24
1803,822,18
1804,309,17
1805,554,16
1806,403,16
1807,883,26
1808,593,19
1809,455,16
1810,639,21
1811,966,28
1812,620,29
1813,1270,31
1814,595,25
1815,144,16
1816,605,23
1817,769,29
1818,642,24
1819,804,17
1820,760,20
1821,1172,31
1822,879,25
1823,1038,29
1824,644,20
1825,343,18
1826,297,21
1827,532,20
1828,424,14
1829,772,21
1830,353,17
1831,563,17
1832,993,27
1833,697,21
1834,798,18
1835,454,19
1836,389,17
1837,558,18
1838,1254,25
1839,241,23
1840,323,17
1841,643,23
1842,656,20
1843,269,15
1844,549,21
1845,1011,22
1846,504,15
1847,604,21
1848,558,17
1849,889,28
1850,457,19
1851,873,34
1852,751,18
1853,591,19
1854,461,19
1855,479,23
1856,565,19
1857,555,25
1858,523,26
1859,733,28
1860,466,22
1861,526,21
1862,312,15
1863,518,23
1864,332,14
1865,570,18
1866,772,22
1867,591,20
1868,899,25
1869,802,24
1870,748,27
1871,388,20
1872,188,16
1873,739,16
1874,920,23
1875,659,21
1876,807,21
1877,692,23
1878,435,21
1879,638,18
1880,675,22
1881,210,14
1882,897,24
1883,706,15
1884,686,21
1885,450,16
1886,493,19
1887,423,19
1888,801,29
1889,647,24
1890,375,16
1891,548,26
1892,562,26
1893,453,14
1894,300,19
1895,300,18
1896,867,29
1897,571,18
1898,348,14
1899,389,15
1900,703,20
1901,506,23
1902,353,15
1903,562,30
1904,378,21
1905,478,17
1906,337,17
1907,319,18
1908,596,19
1909,891,23
1910,401,19
1911,695,19
1912,635,25
1913,369,17
1914,777,25
1915,463,19
1916,186,13
1917,811,25
1918,801,25
1919,741,18
1920,430,22
1921,785,19
1922,702,18
1923,692,20
1924,893,29
1925,640,19
1926,933,20
1927,612,18
1928,585,27
1929,691,19
1930,399,17
1931,569,17
1932,484,17
1933,549,16
1934,1051,34
1935,757,26
1936,328,11
1937,694,20
1938,292,16
1939,1286,27
1940,372,23
1941,616,23
1942,640,22
1943,574,23
1944,861,26
1945,658,21
1946,591,21
1947,144,11
1948,1135,30
1949,454,21
1950,437,20
1951,682,20
1952,842,28
1953,526,24
1954,601,16
1955,633,17
1956,517,21
1957,374,11
1958,340,26
1959,920,25
1960,686,21
1961,963,31
1962,943,19
1963,284,10
1964,751,17
1965,547,15
1966,753,23
1967,608,20
1968,786,23
1969,832,19
1970,408,16
1971,367,21
1972,440,13
1973,195,11
1974,915,20
1975,781,22
1976,560,22
1977,457,18
1978,842,21
1979,788,24
1980,670,23
1981,834,24
1982,564,20
1983,818,26
1984,810,23
1985,431,16
1986,452,19
1987,729,18
1988,489,21
1989,658,17
1990,514,27
1991,894,22
1992,550,20
1993,546,22
1994,677,23
1995,357,16
1996,336,22
1997,318,15
1998,564,21
1999,649,24
2000,435,19
2001,685,16
2002,440,19
2003,671,20
2004,632,18
2005,496,17
2006,658,19
2007,959,30
2008,710,20
2009,847,25
2010,1145,27
2011,816,31
2012,731,23
2013,1205,32
2014,772,23
2015,929,29
2016,551,15
2017,623,20
2018,925,21
2019,1018,20
2020,561,15
2021,1031,23
2022,308,15
2023,721,23
2024,828,27
2025,498,19
2026,625,17
2027,683,21
2028,880,27
2029,771,29
2030,356,20
2031,566,20
2032,357,20
2033,522,21
2034,478,20
2035,632,24
2036,246,13
2037,781,21
2038,838,19
2039,790,23
2040,822,23
2041,379,12
2042,241,14
2043,449,21
2044,415,21
2045,668,18
2046,987,30
2047,427,18
2048,731,25
2049,738,18
2050,371,27
2051,397,16
2052,764,22
2053,474,22
2054,165,15
2055,809,24
2056,792,28
2057,785,33
2058,504,18
2059,578,19
2060,583,19
2061,512,25
2062,460,19
2063,1090,28
2064,577,18
2065,672,19
2066,866,22
2067,561,19
2068,788,25
2069,422,17
2070,440,19
2071,326,16
2072,574,18
2073,548,18
2074,814,21
2075,297,14
2076,876,27
2077,593,28
2078,925,26
2079,481,24
2080,437,20
2081,995,22
2082,431,18
2083,682,26
2084,658,22
2085,394,14
2086,473,18
2087,712,24
2088,686,20
2089,944,19
2090,560,19
2091,669,22
2092,989,28
2093,706,24
2094,997,31
2095,753,26
2096,635,16
2097,922,22
2098,431,15
2099,622,27
2100,469,14
2101,443,14
2102,275,20
2103,426,18
2104,364,16
2105,477,20
2106,628,22
2107,404,14
2108,671,22
2109,544,24
2110,475,17
2111,760,22
2112,406,15
2113,281,15
2114,756,19
2115,554,15
2116,942,19
2117,1043,25
2118,654,17
2119,589,21
2120,691,23
2121,624,18
2122,500,16
2123,295,20
2124,246,11
