任务编号,任务类型,来源区域,执行区域,图形处理器需求量,连续执行时长_小时,调度开工小时,调度完工小时
31710,人工智能训练任务,区域D,区域D,64,1.9,2377,2379
35013,批量推理任务,区域E,区域E,9,5.766666666666667,2377,2383
36594,批量推理任务,区域E,区域E,12,1.5166666666666666,2377,2379
39791,批量推理任务,区域B,区域B,4,4.783333333333333,2377,2382
41348,人工智能训练任务,区域E,区域E,71,5.75,2377,2383
41413,人工智能训练任务,区域E,区域E,54,4.2,2377,2382
43690,人工智能训练任务,区域E,区域E,102,3.1333333333333333,2377,2381
44279,实时推理任务,区域B,区域B,1,2.85,2377,2380
45743,实时推理任务,区域B,区域B,2,6.533333333333333,2377,2384
47993,实时推理任务,区域C,区域C,4,1.4666666666666666,2377,2379
49049,实时推理任务,区域B,区域B,3,1.6333333333333333,2377,2379
235,实时推理任务,区域E,区域E,2,0.4666666666666667,2378,2379
1055,人工智能训练任务,区域F,区域F,113,5.65,2378,2384
2508,实时推理任务,区域B,区域B,1,4.65,2378,2383
3444,实时推理任务,区域A,区域A,7,1.7166666666666666,2378,2380
6507,人工智能训练任务,区域C,区域C,17,5.35,2378,2384
9591,人工智能训练任务,区域D,区域D,27,3.183333333333333,2378,2382
16146,人工智能训练任务,区域E,区域E,60,0.3,2378,2379
17864,人工智能训练任务,区域D,区域D,120,1.7,2378,2380
18427,批量推理任务,区域B,区域B,18,4.45,2378,2383
19684,批量推理任务,区域F,区域F,9,2.0166666666666666,2378,2381
24568,实时推理任务,区域B,区域B,4,2.4166666666666665,2378,2381
25839,实时推理任务,区域A,区域A,1,5.483333333333333,2378,2384
27016,批量推理任务,区域D,区域D,23,1.1833333333333331,2378,2380
29425,人工智能训练任务,区域F,区域F,98,3.8833333333333337,2378,2382
33418,人工智能训练任务,区域E,区域E,122,3.95,2378,2382
33839,批量推理任务,区域E,区域E,21,0.55,2378,2379
36260,人工智能训练任务,区域F,区域F,85,3.4833333333333334,2378,2382
37236,批量推理任务,区域E,区域E,21,4.8,2378,2383
39262,人工智能训练任务,区域E,区域E,103,0.43333333333333335,2378,2379
45584,批量推理任务,区域C,区域C,21,2.683333333333333,2378,2381
46688,人工智能训练任务,区域E,区域E,50,0.4666666666666667,2378,2379
2763,批量推理任务,区域B,区域B,15,3.75,2379,2383
7973,人工智能训练任务,区域E,区域E,70,1.1166666666666667,2379,2381
9845,人工智能训练任务,区域F,区域F,102,0.9166666666666666,2379,2380
10622,批量推理任务,区域C,区域C,23,5.566666666666666,2379,2385
11216,批量推理任务,区域A,区域A,20,5.116666666666666,2379,2385
14405,批量推理任务,区域A,区域A,18,2.5833333333333335,2379,2382
14419,人工智能训练任务,区域D,区域D,104,6.433333333333334,2379,2386
23424,实时推理任务,区域A,区域A,5,6.616666666666666,2379,2386
30238,实时推理任务,区域D,区域D,6,4.85,2379,2384
30708,实时推理任务,区域B,区域B,1,6.4,2379,2386
31331,批量推理任务,区域C,区域C,5,1.4166666666666667,2379,2381
31539,人工智能训练任务,区域D,区域D,103,1.2833333333333334,2379,2381
31788,人工智能训练任务,区域D,区域D,81,5.816666666666666,2379,2385
33741,批量推理任务,区域F,区域F,9,4.3,2379,2384
37078,批量推理任务,区域D,区域D,14,4.583333333333333,2379,2384
39010,人工智能训练任务,区域D,区域D,86,0.3333333333333333,2379,2380
6052,人工智能训练任务,区域F,区域F,92,4.95,2380,2385
11383,批量推理任务,区域C,区域C,22,1.85,2380,2382
17466,批量推理任务,区域E,区域E,20,3.85,2380,2384
18713,人工智能训练任务,区域F,区域F,38,1.0833333333333333,2380,2382
20964,人工智能训练任务,区域B,区域B,112,3.5,2380,2384
24714,实时推理任务,区域C,区域C,5,5.416666666666667,2380,2386
24774,批量推理任务,区域F,区域F,16,1.7333333333333334,2380,2382
26584,人工智能训练任务,区域F,区域F,125,1.0666666666666669,2382,2384
28667,实时推理任务,区域B,区域B,6,1.2,2380,2382
29758,实时推理任务,区域C,区域C,7,6.15,2380,2387
30207,人工智能训练任务,区域D,区域D,33,1.55,2380,2382
36438,人工智能训练任务,区域B,区域B,30,1.2166666666666666,2380,2382
40898,人工智能训练任务,区域A,区域A,122,2.8666666666666667,2380,2383
43380,人工智能训练任务,区域D,区域D,50,1.2166666666666666,2380,2382
43668,批量推理任务,区域B,区域B,19,2.8333333333333335,2380,2383
45172,人工智能训练任务,区域E,区域E,73,2.3333333333333335,2380,2383
45404,人工智能训练任务,区域F,区域F,74,2.25,2380,2383
46876,实时推理任务,区域B,区域B,3,2.85,2380,2383
47613,批量推理任务,区域D,区域D,22,5.333333333333333,2380,2386
9585,实时推理任务,区域B,区域B,7,2.033333333333333,2381,2384
12181,人工智能训练任务,区域C,区域C,68,2.3666666666666667,2381,2384
13587,人工智能训练任务,区域D,区域D,23,6.533333333333333,2381,2388
18720,人工智能训练任务,区域F,区域F,120,0.8666666666666667,2382,2383
18905,批量推理任务,区域A,区域A,12,4.183333333333334,2381,2386
20139,人工智能训练任务,区域D,区域D,71,3.4166666666666665,2381,2385
22462,批量推理任务,区域C,区域C,23,2.3,2381,2384
22871,批量推理任务,区域E,区域E,7,3.816666666666667,2381,2385
28161,批量推理任务,区域B,区域B,4,4.216666666666667,2381,2386
31480,人工智能训练任务,区域D,区域D,84,5.016666666666667,2381,2387
34989,批量推理任务,区域A,区域A,13,3.3666666666666667,2381,2385
35202,实时推理任务,区域C,区域C,5,2.933333333333333,2381,2384
35450,批量推理任务,区域C,区域C,14,2.0166666666666666,2381,2384
35507,批量推理任务,区域A,区域A,18,1.8,2381,2383
38738,人工智能训练任务,区域E,区域E,85,5.983333333333333,2381,2387
39748,实时推理任务,区域C,区域C,1,3.35,2381,2385
41513,实时推理任务,区域C,区域C,6,2.3833333333333333,2381,2384
42499,人工智能训练任务,区域B,区域B,71,6.1,2381,2388
43240,实时推理任务,区域A,区域A,7,6.583333333333333,2381,2388
46280,人工智能训练任务,区域E,区域E,76,5.8,2381,2387
47509,人工智能训练任务,区域F,区域F,71,2.6333333333333333,2382,2385
403,批量推理任务,区域D,区域D,13,2.1166666666666667,2382,2385
3948,实时推理任务,区域F,区域F,1,5.5,2382,2388
4590,实时推理任务,区域C,区域C,5,3.45,2382,2386
5845,人工智能训练任务,区域D,区域D,26,1.5166666666666666,2382,2384
7542,实时推理任务,区域D,区域D,7,0.6833333333333333,2382,2383
10704,人工智能训练任务,区域F,区域F,110,1.0833333333333333,2382,2384
11877,实时推理任务,区域C,区域C,7,1.3833333333333333,2382,2384
11993,批量推理任务,区域C,区域C,15,3.933333333333333,2382,2386
13505,实时推理任务,区域E,区域E,6,4.283333333333333,2382,2387
14772,批量推理任务,区域A,区域A,12,5.116666666666666,2382,2388
15185,实时推理任务,区域A,区域A,1,0.8833333333333333,2382,2383
16116,批量推理任务,区域A,区域A,7,5.333333333333333,2382,2388
19440,批量推理任务,区域E,区域E,23,2.066666666666667,2382,2385
29651,实时推理任务,区域B,区域B,7,4.733333333333333,2382,2387
31191,人工智能训练任务,区域D,区域D,65,2.5833333333333335,2382,2385
32894,人工智能训练任务,区域F,区域F,70,1.5333333333333334,2383,2385
36934,批量推理任务,区域D,区域D,6,2.8666666666666667,2382,2385
39924,批量推理任务,区域C,区域C,4,2.6,2382,2385
42642,实时推理任务,区域C,区域C,1,3.5,2382,2386
47419,人工智能训练任务,区域C,区域C,67,2.25,2382,2385
49336,批量推理任务,区域B,区域B,8,5.416666666666667,2382,2388
1664,批量推理任务,区域E,区域E,14,2.183333333333333,2383,2386
4060,批量推理任务,区域A,区域A,8,2.8,2383,2386
11304,人工智能训练任务,区域D,区域D,112,1.1666666666666667,2383,2385
12755,人工智能训练任务,区域E,区域E,51,3.05,2383,2387
12791,批量推理任务,区域A,区域A,4,0.8666666666666667,2383,2384
13331,实时推理任务,区域B,区域B,1,0.8166666666666667,2383,2384
21103,实时推理任务,区域A,区域A,7,1.8,2383,2385
22175,人工智能训练任务,区域E,区域E,112,6.516666666666667,2383,2390
24641,批量推理任务,区域D,区域D,12,1.4,2383,2385
30900,人工智能训练任务,区域F,区域F,36,2.183333333333333,2383,2386
34149,批量推理任务,区域A,区域A,13,1.6666666666666667,2383,2385
34377,人工智能训练任务,区域F,区域F,46,0.7333333333333333,2383,2384
34834,人工智能训练任务,区域E,区域E,123,3.6166666666666663,2383,2387
35298,实时推理任务,区域A,区域A,6,4.316666666666666,2383,2388
37312,批量推理任务,区域B,区域B,17,6.55,2383,2390
37918,批量推理任务,区域D,区域D,5,2.3666666666666667,2383,2386
40802,批量推理任务,区域B,区域B,16,4.25,2383,2388
41298,实时推理任务,区域A,区域A,4,5.35,2383,2389
43047,实时推理任务,区域B,区域B,5,2.033333333333333,2383,2386
45061,实时推理任务,区域C,区域C,2,4.2,2383,2388
45771,人工智能训练任务,区域F,区域F,77,4.616666666666666,2383,2388
45879,实时推理任务,区域B,区域B,3,4.383333333333334,2383,2388
10306,人工智能训练任务,区域D,区域D,68,4.533333333333333,2384,2389
11360,实时推理任务,区域E,区域E,3,6.566666666666666,2384,2391
16950,实时推理任务,区域A,区域A,6,2.533333333333333,2384,2387
22890,实时推理任务,区域C,区域C,3,1.8,2384,2386
24748,实时推理任务,区域E,区域E,1,3.1166666666666667,2384,2388
26569,实时推理任务,区域B,区域B,5,1.1,2384,2386
26779,实时推理任务,区域B,区域B,2,1.75,2384,2386
27109,人工智能训练任务,区域F,区域F,99,5,2384,2389
29402,批量推理任务,区域C,区域C,17,3.1333333333333333,2384,2388
32107,实时推理任务,区域C,区域C,3,3.0833333333333335,2384,2388
33478,批量推理任务,区域E,区域E,6,2.6,2384,2387
34201,人工智能训练任务,区域B,区域B,78,1.9333333333333331,2384,2386
37688,批量推理任务,区域D,区域D,6,3.7666666666666666,2384,2388
44983,人工智能训练任务,区域F,区域F,80,4.983333333333333,2384,2389
46582,人工智能训练任务,区域E,区域E,33,1.05,2384,2386
47997,实时推理任务,区域A,区域A,6,4.066666666666666,2384,2389
49968,人工智能训练任务,区域E,区域E,120,3.8666666666666663,2384,2388
205,批量推理任务,区域B,区域B,6,4.916666666666667,2385,2390
1234,批量推理任务,区域B,区域B,9,5.566666666666666,2385,2391
4599,人工智能训练任务,区域D,区域D,34,2.1666666666666665,2385,2388
5277,人工智能训练任务,区域E,区域E,64,1.4666666666666666,2385,2387
9936,实时推理任务,区域C,区域C,5,1.5166666666666666,2385,2387
14669,实时推理任务,区域B,区域B,6,4.616666666666666,2385,2390
18325,人工智能训练任务,区域F,区域F,58,3.45,2385,2389
22705,人工智能训练任务,区域E,区域E,80,2.25,2385,2388
23514,人工智能训练任务,区域F,区域F,76,3.85,2385,2389
23890,实时推理任务,区域A,区域A,5,4.783333333333333,2385,2390
25467,实时推理任务,区域B,区域B,6,2.8666666666666667,2385,2388
26590,人工智能训练任务,区域F,区域F,27,4.916666666666667,2385,2390
28123,人工智能训练任务,区域D,区域D,30,3.1166666666666667,2385,2389
28388,人工智能训练任务,区域F,区域F,85,4.8,2385,2390
31955,批量推理任务,区域D,区域D,16,2.783333333333333,2385,2388
34369,批量推理任务,区域D,区域D,18,4.966666666666667,2385,2390
35571,人工智能训练任务,区域F,区域F,111,2.1,2385,2388
36634,实时推理任务,区域F,区域F,7,5.083333333333333,2385,2391
41891,批量推理任务,区域C,区域C,15,2.65,2385,2388
43153,人工智能训练任务,区域F,区域F,36,1.3166666666666669,2385,2387
45742,批量推理任务,区域C,区域C,20,6.366666666666666,2385,2392
46875,批量推理任务,区域B,区域B,18,6.166666666666667,2385,2392
2055,人工智能训练任务,区域D,区域D,116,2.6666666666666665,2386,2389
3455,实时推理任务,区域C,区域C,1,2.8666666666666667,2386,2389
8353,实时推理任务,区域B,区域B,5,1.25,2386,2388
10275,人工智能训练任务,区域E,区域E,38,2.0833333333333335,2386,2389
11834,批量推理任务,区域B,区域B,19,5.866666666666666,2386,2392
14622,批量推理任务,区域B,区域B,23,3.6666666666666665,2386,2390
15694,人工智能训练任务,区域E,区域E,63,2.8666666666666667,2386,2389
18869,批量推理任务,区域D,区域D,7,4.433333333333334,2386,2391
19264,实时推理任务,区域D,区域D,4,3.3333333333333335,2386,2390
19693,实时推理任务,区域A,区域A,4,1.2,2386,2388
20632,批量推理任务,区域C,区域C,14,3.066666666666667,2386,2390
22852,人工智能训练任务,区域F,区域F,62,5.75,2386,2392
22937,人工智能训练任务,区域F,区域F,52,2.283333333333333,2386,2389
23667,批量推理任务,区域A,区域A,15,5.216666666666667,2386,2392
24949,批量推理任务,区域D,区域D,16,1.0166666666666666,2386,2388
26788,批量推理任务,区域F,区域F,12,5.283333333333333,2386,2392
29239,实时推理任务,区域B,区域B,2,4.016666666666667,2386,2391
32465,实时推理任务,区域B,区域B,6,2.4,2386,2389
33605,批量推理任务,区域B,区域B,9,1.5666666666666669,2386,2388
33785,批量推理任务,区域D,区域D,20,1.8666666666666667,2386,2388
39597,批量推理任务,区域D,区域D,17,5.583333333333333,2386,2392
40554,实时推理任务,区域B,区域B,5,6.2,2386,2393
40594,实时推理任务,区域C,区域C,2,6.083333333333333,2386,2393
43953,批量推理任务,区域E,区域E,17,2.7,2386,2389
46192,人工智能训练任务,区域B,区域B,113,3.3,2386,2390
48007,实时推理任务,区域C,区域C,2,4.266666666666667,2386,2391
48396,实时推理任务,区域A,区域A,2,2.683333333333333,2386,2389
2374,批量推理任务,区域A,区域A,7,0.65,2387,2388
3113,批量推理任务,区域D,区域D,15,6.233333333333333,2387,2394
9168,实时推理任务,区域C,区域C,3,2.35,2387,2390
9535,人工智能训练任务,区域E,区域E,58,5.633333333333334,2387,2393
9850,批量推理任务,区域E,区域E,13,5.733333333333333,2387,2393
12025,实时推理任务,区域A,区域A,2,0.65,2387,2388
17181,人工智能训练任务,区域D,区域D,82,1.7,2387,2389
19584,人工智能训练任务,区域E,区域E,43,5.816666666666666,2387,2393
21428,实时推理任务,区域C,区域C,5,2.3666666666666667,2387,2390
23146,实时推理任务,区域C,区域C,3,5.55,2387,2393
23708,实时推理任务,区域B,区域B,7,1.6666666666666667,2387,2389
25000,实时推理任务,区域B,区域B,6,1.65,2387,2389
27713,人工智能训练任务,区域F,区域F,87,1.5333333333333334,2387,2389
28165,批量推理任务,区域E,区域E,13,0.4166666666666667,2387,2388
28952,实时推理任务,区域C,区域C,7,2.05,2387,2390
29306,批量推理任务,区域E,区域E,20,0.6,2387,2388
29773,实时推理任务,区域A,区域A,6,1.7833333333333334,2387,2389
30583,人工智能训练任务,区域E,区域E,121,3.9,2387,2391
31709,人工智能训练任务,区域D,区域D,44,2.466666666666667,2387,2390
31953,批量推理任务,区域B,区域B,19,5.15,2387,2393
32656,人工智能训练任务,区域E,区域E,76,5.633333333333334,2387,2393
32719,实时推理任务,区域A,区域A,3,1.8166666666666669,2387,2389
33356,批量推理任务,区域B,区域B,14,3.3666666666666667,2387,2391
33589,批量推理任务,区域E,区域E,22,4.783333333333333,2387,2392
35544,实时推理任务,区域C,区域C,7,3.433333333333333,2387,2391
36369,人工智能训练任务,区域E,区域E,70,1.6333333333333333,2387,2389
36680,人工智能训练任务,区域F,区域F,118,5.983333333333333,2387,2393
36735,实时推理任务,区域B,区域B,2,4.566666666666666,2387,2392
38944,人工智能训练任务,区域C,区域C,91,3.1,2387,2391
40446,批量推理任务,区域A,区域A,9,0.5333333333333333,2387,2388
41737,人工智能训练任务,区域F,区域F,21,6.066666666666666,2388,2395
583,批量推理任务,区域A,区域A,12,3.9166666666666665,2388,2392
1264,人工智能训练任务,区域F,区域F,113,4.7,2388,2393
6323,批量推理任务,区域A,区域A,5,2.3666666666666667,2388,2391
16274,批量推理任务,区域A,区域A,21,6.05,2388,2395
17991,人工智能训练任务,区域F,区域F,26,2.2666666666666666,2388,2391
18061,批量推理任务,区域C,区域C,9,5.066666666666666,2388,2394
20403,批量推理任务,区域D,区域D,14,3.9833333333333334,2388,2392
21356,人工智能训练任务,区域F,区域F,125,5.133333333333334,2389,2395
21837,人工智能训练任务,区域D,区域D,59,4.266666666666667,2388,2393
27293,人工智能训练任务,区域F,区域F,50,5.333333333333333,2389,2395
27636,实时推理任务,区域A,区域A,7,4.233333333333333,2388,2393
28692,实时推理任务,区域A,区域A,3,4.3,2388,2393
32420,批量推理任务,区域D,区域D,19,5.716666666666667,2388,2394
35545,人工智能训练任务,区域F,区域F,31,1.3833333333333333,2388,2390
36175,实时推理任务,区域A,区域A,5,1.4,2388,2390
36729,批量推理任务,区域C,区域C,9,6.416666666666667,2388,2395
40539,批量推理任务,区域B,区域B,10,2.2,2388,2391
42007,批量推理任务,区域A,区域A,21,2.7333333333333334,2388,2391
42663,批量推理任务,区域A,区域A,7,6.233333333333333,2388,2395
43032,实时推理任务,区域B,区域B,1,2.283333333333333,2388,2391
43266,人工智能训练任务,区域A,区域A,103,0.9833333333333332,2388,2389
43463,批量推理任务,区域A,区域A,10,1.3333333333333333,2388,2390
45156,批量推理任务,区域A,区域A,9,5.033333333333333,2388,2394
1096,实时推理任务,区域A,区域A,1,4.833333333333333,2389,2394
5727,人工智能训练任务,区域D,区域D,82,2.316666666666667,2389,2392
6232,实时推理任务,区域A,区域A,5,6,2389,2395
10407,实时推理任务,区域C,区域C,7,2.3666666666666667,2389,2392
13747,人工智能训练任务,区域F,区域F,41,6.6,2389,2396
14749,人工智能训练任务,区域E,区域E,97,3.15,2389,2393
16109,批量推理任务,区域F,区域F,7,2.9166666666666665,2389,2392
17044,批量推理任务,区域C,区域C,6,0.6,2389,2390
23936,人工智能训练任务,区域D,区域D,127,3.8333333333333335,2389,2393
32162,实时推理任务,区域A,区域A,2,1.9166666666666667,2389,2391
33779,人工智能训练任务,区域E,区域E,31,5.1,2389,2395
34647,人工智能训练任务,区域B,区域B,59,2.3,2389,2392
36902,批量推理任务,区域E,区域E,22,5.516666666666667,2389,2395
39318,批量推理任务,区域A,区域A,21,2.75,2389,2392
45583,批量推理任务,区域B,区域B,13,5.533333333333333,2389,2395
47013,人工智能训练任务,区域D,区域D,67,0.16666666666666666,2389,2390
48004,实时推理任务,区域A,区域A,6,0.8333333333333334,2389,2390
57,批量推理任务,区域E,区域E,16,3,2390,2393
165,批量推理任务,区域B,区域B,18,1.75,2390,2392
1136,批量推理任务,区域B,区域B,12,3.033333333333333,2390,2394
2167,人工智能训练任务,区域D,区域D,57,4.15,2390,2395
3782,人工智能训练任务,区域E,区域E,89,5.766666666666667,2390,2396
4354,实时推理任务,区域C,区域C,4,5.95,2390,2396
4851,批量推理任务,区域D,区域D,8,3.8333333333333335,2390,2394
8760,人工智能训练任务,区域E,区域E,44,4.583333333333333,2390,2395
10184,批量推理任务,区域D,区域D,15,2.783333333333333,2390,2393
15675,人工智能训练任务,区域F,区域F,87,2.9833333333333334,2390,2393
16513,人工智能训练任务,区域E,区域E,107,5.833333333333333,2390,2396
17233,人工智能训练任务,区域D,区域D,122,3.8,2390,2394
19682,批量推理任务,区域D,区域D,11,5.233333333333333,2390,2396
21242,实时推理任务,区域B,区域B,1,1.1,2390,2392
24572,批量推理任务,区域A,区域A,9,5.05,2390,2396
25795,人工智能训练任务,区域E,区域E,46,1.7166666666666666,2390,2392
26136,人工智能训练任务,区域E,区域E,120,0.8666666666666667,2390,2391
29364,人工智能训练任务,区域E,区域E,111,1.2833333333333334,2391,2393
30199,批量推理任务,区域F,区域F,15,6.233333333333333,2390,2397
34531,实时推理任务,区域B,区域B,7,5.766666666666667,2390,2396
37033,实时推理任务,区域C,区域C,3,4.883333333333334,2390,2395
39397,批量推理任务,区域A,区域A,7,6.466666666666667,2390,2397
46424,人工智能训练任务,区域D,区域D,120,6.066666666666666,2390,2397
47967,批量推理任务,区域D,区域D,20,3.183333333333333,2390,2394
4113,批量推理任务,区域A,区域A,15,4.2,2391,2396
4930,人工智能训练任务,区域E,区域E,50,5.866666666666666,2391,2397
4943,实时推理任务,区域C,区域C,4,3,2391,2394
6876,人工智能训练任务,区域D,区域D,52,6.5,2391,2398
12397,人工智能训练任务,区域A,区域A,101,0.6166666666666667,2391,2392
13836,人工智能训练任务,区域D,区域D,40,6.4,2391,2398
14305,实时推理任务,区域D,区域D,2,4.666666666666667,2391,2396
17898,人工智能训练任务,区域E,区域E,78,2.65,2391,2394
18367,批量推理任务,区域A,区域A,19,5.766666666666667,2391,2397
18687,实时推理任务,区域E,区域E,5,1.45,2391,2393
18847,批量推理任务,区域B,区域B,8,4.516666666666667,2391,2396
22706,实时推理任务,区域C,区域C,2,0.75,2391,2392
25215,实时推理任务,区域A,区域A,5,3.433333333333333,2391,2395
25763,人工智能训练任务,区域E,区域E,114,4.833333333333333,2392,2397
27637,人工智能训练任务,区域D,区域D,50,0.5166666666666667,2391,2392
30452,人工智能训练任务,区域E,区域E,55,3.3,2391,2395
31011,人工智能训练任务,区域F,区域F,58,2.0166666666666666,2391,2394
31688,批量推理任务,区域F,区域F,21,1.9666666666666663,2391,2393
33573,批量推理任务,区域B,区域B,21,1.4166666666666667,2391,2393
35181,实时推理任务,区域B,区域B,4,4.2,2391,2396
35783,实时推理任务,区域A,区域A,3,4.616666666666666,2391,2396
38937,人工智能训练任务,区域B,区域B,31,5.266666666666667,2391,2397
39380,实时推理任务,区域B,区域B,3,0.7333333333333333,2391,2392
41410,人工智能训练任务,区域B,区域B,23,6.566666666666666,2391,2398
45363,实时推理任务,区域C,区域C,2,5.083333333333333,2391,2397
45731,批量推理任务,区域E,区域E,14,4.2,2393,2398
49684,实时推理任务,区域B,区域B,1,1.75,2391,2393
315,批量推理任务,区域A,区域A,17,1.45,2392,2394
1371,人工智能训练任务,区域C,区域C,18,5.583333333333333,2392,2398
2412,实时推理任务,区域C,区域C,2,4.266666666666667,2392,2397
2517,人工智能训练任务,区域F,区域F,30,2.7333333333333334,2392,2395
3566,批量推理任务,区域E,区域E,9,0.9,2393,2394
6235,实时推理任务,区域B,区域B,1,1.7333333333333334,2392,2394
8915,人工智能训练任务,区域D,区域D,97,0.8166666666666667,2392,2393
16024,实时推理任务,区域F,区域F,1,3.35,2392,2396
17673,人工智能训练任务,区域D,区域D,124,6.616666666666666,2392,2399
18826,批量推理任务,区域A,区域A,17,4.533333333333333,2392,2397
19387,人工智能训练任务,区域E,区域E,104,3.7666666666666666,2393,2397
21792,实时推理任务,区域A,区域A,4,5.266666666666667,2392,2398
23364,实时推理任务,区域E,区域F,5,1.9166666666666667,2392,2394
25631,批量推理任务,区域D,区域D,18,4.716666666666667,2392,2397
27301,批量推理任务,区域A,区域A,5,3.2,2392,2396
28488,批量推理任务,区域A,区域A,14,0.65,2392,2393
28923,批量推理任务,区域C,区域C,14,1.85,2392,2394
32917,实时推理任务,区域A,区域A,2,2.8833333333333333,2392,2395
37668,批量推理任务,区域D,区域D,11,4.116666666666666,2392,2397
38208,人工智能训练任务,区域F,区域F,122,1.7666666666666666,2392,2394
44811,实时推理任务,区域B,区域B,2,5.566666666666666,2392,2398
47090,人工智能训练任务,区域F,区域F,98,5.216666666666667,2392,2398
47787,批量推理任务,区域B,区域B,8,3.216666666666667,2392,2396
4611,批量推理任务,区域A,区域A,15,2.05,2393,2396
5663,实时推理任务,区域B,区域B,6,4.25,2393,2398
7484,实时推理任务,区域A,区域A,3,3.95,2393,2397
12184,批量推理任务,区域D,区域D,5,0.25,2393,2394
16345,批量推理任务,区域F,区域F,9,3.2333333333333334,2393,2397
16699,人工智能训练任务,区域F,区域F,127,1.7,2393,2395
21897,实时推理任务,区域A,区域A,3,1.5333333333333334,2393,2395
23544,实时推理任务,区域B,区域B,1,2.25,2393,2396
24477,批量推理任务,区域D,区域D,16,1.1333333333333333,2393,2395
27485,实时推理任务,区域A,区域A,5,2.433333333333333,2393,2396
28664,人工智能训练任务,区域F,区域F,96,6.25,2393,2400
31748,实时推理任务,区域A,区域A,4,5.533333333333333,2393,2399
38021,实时推理任务,区域B,区域B,6,3.533333333333333,2393,2397
41990,人工智能训练任务,区域D,区域D,22,0.4166666666666667,2393,2394
43531,批量推理任务,区域C,区域C,18,2.466666666666667,2393,2396
44602,实时推理任务,区域C,区域C,4,5.666666666666667,2393,2399
45529,实时推理任务,区域A,区域A,4,6.1,2393,2400
48651,批量推理任务,区域F,区域F,14,1.2333333333333334,2393,2395
56,人工智能训练任务,区域E,区域E,19,4,2394,2398
1843,实时推理任务,区域A,区域A,1,0.8166666666666667,2394,2395
4848,批量推理任务,区域B,区域B,17,3.6,2394,2398
6438,人工智能训练任务,区域E,区域E,98,4.95,2394,2399
6508,批量推理任务,区域B,区域B,23,4.983333333333333,2394,2399
11351,批量推理任务,区域D,区域D,16,4.35,2394,2399
12444,实时推理任务,区域A,区域A,1,4.483333333333333,2394,2399
13174,实时推理任务,区域B,区域B,6,0.16666666666666666,2394,2395
13376,人工智能训练任务,区域D,区域D,53,2.3833333333333333,2394,2397
14327,批量推理任务,区域B,区域B,21,5.55,2394,2400
14619,人工智能训练任务,区域F,区域F,117,6.616666666666666,2394,2401
15921,人工智能训练任务,区域D,区域D,127,3.9166666666666665,2394,2398
16041,实时推理任务,区域B,区域B,5,0.9166666666666666,2394,2395
21451,人工智能训练任务,区域D,区域D,34,4.216666666666667,2394,2399
23381,批量推理任务,区域D,区域D,15,4,2394,2398
31076,人工智能训练任务,区域E,区域E,67,6.366666666666666,2394,2401
