调度时段编号,区域编号,电价时段,购电价格,售电价格,碳强度,人工智能训练任务功率,图形处理器利用率,可用新能源出力,直接消纳新能源,新能源充电功率,弃风弃光功率,信息技术侧负荷,设施侧总负荷,电网购电功率,电网充电功率,外送售电功率,净购电功率,碳排放量,需求响应等级,储能荷电状态,储能充电功率,储能放电功率,基准人工智能信息技术负荷,非人工智能信息技术负荷,数据时段
8,区域D,平,432.22,337.13,0.415,88.4826666667,38.350317,1059.81,226.3223,0.0,653.4877,453.37,580.3136,353.9913,0.0,180.0,173.9913,146.9064,低,900.0,0.0,0.0,89.6326666667,363.737333,主时域0_2399
8,区域E,平,381.96,297.93,0.2174,40.064,29.113966,1059.81,351.456,0.0,488.354,439.32,549.15,197.694,0.0,220.0,-22.306,42.9787,低,820.0,0.0,0.0,44.3843333333,394.935667,主时域0_2399
8,区域F,平,402.06,313.61,0.2569,86.4,62.008282,1059.81,314.5069,0.0,525.3031,442.22,561.6194,247.1125,0.0,220.0,27.1125,63.4832,中,850.0,0.0,0.0,92.3,349.92,主时域0_2399
9,区域A,平,724.16,0.0,0.6013,15.68,25.07672,1089.78,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,285.4823,中,350.0,0.0,0.0,21.2886666667,381.911333,主时域0_2399
9,区域B,平,693.99,0.0,0.5625,4.96,28.641026,1089.78,83.8298,0.0,1005.9502,393.6,531.36,447.5302,0.0,0.0,447.5302,251.7357,中,320.0,0.0,0.0,17.352,376.248,主时域0_2399
9,区域C,平,673.87,0.0,0.5334,23.0826666667,39.932099,1089.78,100.744,0.0,989.036,388.8,536.544,435.8,0.0,0.0,435.8,232.4557,中,300.0,0.0,0.0,29.6393333333,359.160667,主时域0_2399
9,区域D,平,432.48,337.33,0.4074,81.6986666667,35.911458,1089.78,218.1099,0.0,691.6701,428.39,548.3392,330.2293,0.0,180.0,150.2293,134.5354,低,900.0,0.0,0.0,83.4986666667,344.891333,主时域0_2399
9,区域E,平,382.2,298.12,0.2134,34.48,26.531621,1089.78,383.3485,0.0,486.4315,452.81,566.0125,182.664,0.0,220.0,-37.336,38.9805,中,820.0,0.0,0.0,39.62,413.19,主时域0_2399
9,区域F,平,402.31,313.8,0.2522,28.5306666667,24.225328,1089.78,301.9684,0.0,567.8116,436.7,554.609,252.6406,0.0,220.0,32.6406,63.7159,中,850.0,0.0,0.0,34.1006666667,402.599333,主时域0_2399
10,区域A,平,724.61,0.0,0.5917,15.68,22.010582,1100.0,71.781,0.0,1028.219,393.86,531.711,459.93,0.0,0.0,459.93,272.1406,中,350.0,0.0,0.0,19.4433333333,374.416667,主时域0_2399
10,区域B,平,694.41,0.0,0.5535,3.472,25.435897,1100.0,87.6744,0.0,1012.3256,393.6,531.36,443.6856,0.0,0.0,443.6856,245.58,中,320.0,0.0,0.0,14.88,378.72,主时域0_2399
10,区域C,平,674.29,0.0,0.5249,17.12,32.92284,1100.0,104.6261,0.0,995.3739,388.8,536.544,431.9179,0.0,0.0,431.9179,226.7137,中,300.0,0.0,0.0,23.5803333333,365.219667,主时域0_2399
10,区域D,平,432.75,337.55,0.4008,74.9386666667,32.511322,1100.0,219.4439,0.0,700.5561,423.31,541.8368,322.3929,0.0,180.0,142.3929,129.2151,低,900.0,0.0,0.0,75.9586666667,347.351333,主时域0_2399
10,区域E,平,382.43,298.3,0.21,78.4,56.0639,1100.0,376.2982,0.0,503.7018,426.47,533.0875,156.7893,0.0,220.0,-63.2107,32.9257,低,820.0,0.0,0.0,85.9766666667,340.493333,主时域0_2399
10,区域F,平,402.56,314.0,0.2481,47.3466666667,35.602139,1100.0,272.2555,0.0,607.7445,404.48,513.6896,241.4341,0.0,220.0,21.4341,59.8998,低,850.0,0.0,0.0,52.1466666667,352.333333,主时域0_2399
11,区域A,平,725.04,0.0,0.5845,12.992,23.365079,1089.78,71.4682,0.0,1018.3118,374.89,506.1015,434.6333,0.0,0.0,434.6333,254.0432,中,350.0,0.0,0.0,19.032,355.858,主时域0_2399
11,区域B,平,694.83,0.0,0.5468,0.0,23.672365,1089.78,90.9758,0.0,998.8042,393.6,531.36,440.3842,0.0,0.0,440.3842,240.8021,中,320.0,0.0,0.0,12.7366666667,380.863333,主时域0_2399
11,区域C,平,674.69,0.0,0.5185,16.264,32.567901,1089.78,106.2104,0.0,983.5696,382.5,527.85,421.6396,0.0,0.0,421.6396,218.6201,中,300.0,0.0,0.0,23.062,359.438,主时域0_2399
11,区域D,平,433.01,337.75,0.3959,70.664,34.69769,1089.78,200.9721,0.0,708.8079,381.82,488.7296,287.7575,0.0,180.0,107.7575,113.9232,低,900.0,0.0,0.0,77.574,304.246,主时域0_2399
11,区域E,平,382.66,298.47,0.2074,56.32,43.873518,1089.78,327.613,0.0,542.167,362.07,452.5875,124.9745,0.0,220.0,-95.0255,25.9197,低,820.0,0.0,0.0,65.36,296.71,主时域0_2399
11,区域F,平,402.8,314.18,0.2451,42.592,33.464458,1089.78,236.2994,0.0,633.4806,359.49,456.5523,220.2529,0.0,220.0,0.2529,53.984,低,850.0,0.0,0.0,48.2986666667,311.191333,主时域0_2399
12,区域A,平,725.48,0.0,0.5802,7.68,18.571429,1059.81,68.097,0.0,991.713,345.54,466.479,398.382,0.0,0.0,398.382,231.1413,中,350.0,0.0,0.0,13.9926666667,331.547333,主时域0_2399
12,区域B,平,695.25,0.0,0.5427,19.04,33.823362,1059.81,84.89,0.0,974.92,357.32,482.382,397.492,0.0,0.0,397.492,215.7189,中,320.0,0.0,0.0,25.9596666667,331.360333,主时域0_2399
12,区域C,平,675.1,0.0,0.5147,7.84,18.302469,1059.81,97.7207,0.0,962.0893,343.78,474.4164,376.6957,0.0,0.0,376.6957,193.8853,中,300.0,0.0,0.0,12.3666666667,331.413333,主时域0_2399
12,区域D,平,433.27,337.95,0.393,73.28,37.024457,1059.81,188.0899,0.0,691.7201,353.25,452.16,264.0701,0.0,180.0,84.0701,103.7796,低,900.0,0.0,0.0,81.98,271.27,主时域0_2399
12,区域E,平,382.89,298.65,0.2059,58.912,47.190382,1059.81,323.89,0.0,515.92,354.948,443.685,119.795,0.0,220.0,-100.205,24.6658,低,820.0,0.0,0.0,69.7226666667,285.225333,主时域0_2399
12,区域F,平,403.04,314.37,0.2433,33.5733333333,27.1049,1059.81,241.3855,0.0,598.4245,374.12,475.1324,233.7469,0.0,220.0,13.7469,56.8706,低,850.0,0.0,0.0,38.6133333333,335.506667,主时域0_2399
13,区域A,平,725.9,0.0,0.5791,4.56,18.301587,1012.13,66.0965,0.0,946.0335,328.642,443.6667,377.5702,0.0,0.0,377.5702,218.6509,低,350.0,0.0,0.0,12.84,315.802,主时域0_2399
13,区域B,平,695.66,0.0,0.5417,19.04,31.039886,1012.13,79.3294,0.0,932.8006,328.323,443.236,363.9066,0.0,0.0,363.9066,197.1282,中,320.0,0.0,0.0,24.7466666667,303.576333,主时域0_2399
13,区域C,平,675.49,0.0,0.5137,10.0053333333,27.234568,1012.13,97.1353,0.0,914.9947,336.82,464.8116,367.6763,0.0,0.0,367.6763,188.8753,中,300.0,0.0,0.0,18.0513333333,318.768667,主时域0_2399
13,区域D,平,433.53,338.15,0.3923,54.888,29.724864,1012.13,190.0242,0.0,642.1058,354.33,453.5424,263.5182,0.0,180.0,83.5182,103.3782,低,900.0,0.0,0.0,64.338,289.992,主时域0_2399
13,区域E,平,383.12,298.83,0.2055,95.456,68.865283,1012.13,311.7558,0.0,480.3742,344.545,430.6812,118.9254,0.0,220.0,-101.0746,24.4392,低,820.0,0.0,0.0,105.3876666667,239.157333,主时域0_2399
13,区域F,平,403.28,314.56,0.2428,62.72,46.376812,1012.13,223.8448,0.0,568.2852,351.076,445.8665,222.0217,0.0,220.0,2.0217,53.9069,低,850.0,0.0,0.0,68.08,282.996,主时域0_2399
14,区域A,平,726.32,0.0,0.5814,0.0,12.203704,950.0,63.4631,0.0,886.5369,313.398,423.0873,359.6242,0.0,0.0,359.6242,209.0855,低,350.0,0.0,0.0,7.1586666667,306.239333,主时域0_2399
14,区域B,平,696.06,0.0,0.5439,19.04,31.860399,950.0,76.0381,0.0,873.9619,312.914,422.4339,346.3958,0.0,0.0,346.3958,188.4047,低,320.0,0.0,0.0,25.2306666667,287.683333,主时域0_2399
14,区域C,平,675.88,0.0,0.5157,7.84,24.814815,950.0,90.2797,0.0,859.7203,311.524,429.9031,339.6234,0.0,0.0,339.6234,175.1438,低,300.0,0.0,0.0,15.78,295.744,主时域0_2399
14,区域D,平,433.78,338.35,0.3938,86.784,42.511322,950.0,163.8551,0.0,606.1449,304.79,390.1312,226.2761,0.0,180.0,46.2761,89.1075,低,900.0,0.0,0.0,95.0806666667,209.709333,主时域0_2399
14,区域E,平,383.34,299.01,0.2063,100.16,68.726943,950.0,282.1632,0.0,447.8368,319.784,399.73,117.5668,0.0,220.0,-102.4332,24.254,低,820.0,0.0,0.0,107.11,212.674,主时域0_2399
14,区域F,平,403.51,314.74,0.2438,61.6106666667,46.381988,950.0,199.3411,0.0,530.6589,313.923,398.6822,199.3411,0.0,220.0,-20.6589,48.5994,低,850.0,0.0,0.0,67.669,246.254,主时域0_2399
15,区域A,平,726.74,0.0,0.5869,0.0,11.404762,877.65,56.4725,0.0,821.1775,280.79,379.0665,322.594,0.0,0.0,322.594,189.3304,低,350.0,0.0,0.0,6.628,274.162,主时域0_2399
15,区域B,平,696.45,0.0,0.5491,34.72,53.638177,877.65,67.5642,0.0,810.0858,279.63,377.5005,309.9363,0.0,0.0,309.9363,170.186,低,320.0,0.0,0.0,43.4026666667,236.227333,主时域0_2399
15,区域C,平,676.27,0.0,0.5207,3.6586666667,24.29321,877.65,80.7833,0.0,796.8667,280.119,386.5642,305.7809,0.0,0.0,305.7809,159.2201,低,300.0,0.0,0.0,13.6383333333,266.480667,主时域0_2399
15,区域D,平,434.02,338.54,0.3976,95.768,43.085371,877.65,162.8363,0.0,534.8137,303.634,388.6515,225.8152,0.0,180.0,45.8152,89.7841,低,900.0,0.0,0.0,99.2946666667,204.339333,主时域0_2399
15,区域E,平,383.55,299.17,0.2083,70.4826666667,49.418643,877.65,251.4755,0.0,406.1745,297.042,371.3025,119.827,0.0,220.0,-100.173,24.96,低,820.0,0.0,0.0,76.4086666667,220.633333,主时域0_2399
15,区域F,平,403.74,314.92,0.2461,93.28,67.929607,877.65,177.4367,0.0,480.2133,278.29,353.4283,175.9916,0.0,220.0,-44.0084,43.3115,低,850.0,0.0,0.0,100.36,177.93,主时域0_2399
16,区域A,平,727.14,0.0,0.5954,8.0,24.981481,800.0,48.764,0.0,751.236,247.44,334.044,285.28,0.0,0.0,285.28,169.8557,低,350.0,0.0,0.0,18.2506666667,229.189333,主时域0_2399
16,区域B,平,696.84,0.0,0.557,44.952,67.122507,800.0,60.1255,0.0,739.8745,253.081,341.6594,281.5339,0.0,0.0,281.5339,156.8144,低,320.0,0.0,0.0,55.313,197.768,主时域0_2399
16,区域C,平,676.64,0.0,0.5282,0.0,19.382716,800.0,70.4724,0.0,729.5276,247.921,342.131,271.6586,0.0,0.0,271.6586,143.4901,低,300.0,0.0,0.0,9.5333333333,238.387667,主时域0_2399
16,区域D,平,434.26,338.72,0.4033,72.0,32.8125,800.0,139.2637,0.0,480.7363,261.55,334.784,195.5203,0.0,180.0,15.5203,78.8533,低,900.0,0.0,0.0,75.14,186.41,主时域0_2399
16,区域E,平,383.77,299.34,0.2113,34.2986666667,28.791173,800.0,215.256,0.0,364.744,269.07,336.3375,121.0815,0.0,220.0,-98.9185,25.5845,低,820.0,0.0,0.0,41.9986666667,227.071333,主时域0_2399
16,区域F,平,403.97,315.1,0.2497,75.7653333333,53.509317,800.0,156.1664,0.0,423.8336,242.04,307.3908,151.2244,0.0,220.0,-68.7756,37.7607,低,850.0,0.0,0.0,79.9333333333,162.106667,主时域0_2399
17,区域A,峰,1054.92,0.0,0.6062,6.6666666667,24.343915,722.35,44.7522,0.0,677.5978,234.75,316.9125,227.1603,0.0,0.0,227.1603,137.7046,中,301.087,0.0,45.0,17.3196666667,217.430333,主时域0_2399
17,区域B,峰,1010.97,0.0,0.5671,30.0693333333,55.586895,722.35,59.0234,0.0,663.3266,255.36,344.736,245.2126,0.0,0.0,245.2126,139.0601,中,275.9783,0.0,40.5,42.8503333333,212.509667,主时域0_2399
17,区域C,峰,981.67,0.0,0.5378,0.0,21.512346,722.35,74.2084,0.0,648.1416,267.25,368.805,256.3466,0.0,0.0,256.3466,137.8632,中,258.4239,0.0,38.25,10.745,256.505,主时域0_2399
17,区域D,峰,630.02,491.42,0.4107,69.8586666667,32.134284,722.35,126.93,0.0,415.42,241.15,308.672,0.0,0.0,180.0,-180.0,0.0,中,704.5785,0.0,181.742,73.3846666667,167.765333,主时域0_2399
17,区域E,峰,556.77,434.28,0.2151,49.664,36.096838,722.35,205.062,0.0,297.288,274.98,343.725,0.0,0.0,220.0,-220.0,0.0,中,670.9,0.0,138.663,55.014,219.966,主时域0_2399
17,区域F,峰,586.07,457.13,0.2542,99.2213333333,66.36991,722.35,171.6982,0.0,330.6518,261.21,331.7367,0.0,0.0,220.0,-220.0,0.0,中,677.9155,0.0,160.0385,101.1813333333,160.028667,主时域0_2399
18,区域A,峰,1055.49,0.0,0.6188,6.56,25.12963,650.0,40.4249,0.0,609.5751,221.81,299.4435,214.0186,0.0,0.0,214.0186,132.4347,中,252.1739,0.0,45.0,17.6596666667,204.150333,主时域0_2399
18,区域B,峰,1011.51,0.0,0.5788,46.24,70.384615,650.0,48.0316,0.0,601.9684,215.63,291.1005,202.5689,0.0,0.0,202.5689,117.2469,中,231.9565,0.0,40.5,57.5853333333,158.044667,主时域0_2399
18,区域C,峰,982.19,0.0,0.5489,6.4,31.160494,650.0,57.1353,0.0,592.8647,212.32,293.0016,197.6163,0.0,0.0,197.6163,108.4716,中,216.8478,0.0,38.25,18.603,193.717,主时域0_2399
18,区域D,峰,630.36,491.68,0.4192,74.9226666667,33.362772,650.0,106.4845,0.0,363.5155,205.41,262.9248,0.0,0.0,180.0,-180.0,0.0,中,536.3632,0.0,156.4403,77.206,128.204,主时域0_2399
18,区域E,峰,557.06,434.51,0.2196,26.8826666667,20.377141,650.0,153.3194,0.0,276.6806,223.01,278.7625,0.0,0.0,220.0,-220.0,0.0,中,536.0149,0.0,125.4431,30.5626666667,192.447333,主时域0_2399
18,区域F,峰,586.38,457.38,0.2595,81.6106666667,56.39234,650.0,164.4451,0.0,265.5549,244.31,310.2737,0.0,0.0,220.0,-220.0,0.0,中,521.1106,0.0,145.8286,84.9973333333,159.312667,主时域0_2399
19,区域A,峰,1056.03,0.0,0.6321,47.36,66.269841,587.87,49.3799,0.0,538.4901,286.29,386.4915,292.1116,0.0,0.0,292.1116,184.6437,中,203.2609,0.0,45.0,58.8706666667,227.419333,主时域0_2399
19,区域B,峰,1012.03,0.0,0.5913,61.6853333333,82.817664,587.87,53.1625,0.0,534.7075,249.61,336.9735,243.311,0.0,0.0,243.311,143.8698,中,187.9348,0.0,40.5,70.6576666667,178.952333,主时域0_2399
19,区域C,峰,982.7,0.0,0.5608,10.08,29.049383,587.87,58.731,0.0,529.139,226.66,312.7908,215.8098,0.0,0.0,215.8098,121.0261,中,175.2717,0.0,38.25,19.016,207.644,主时域0_2399
19,区域D,峰,630.69,491.94,0.4282,83.3493333333,37.410553,587.87,116.5826,0.0,291.2874,228.98,293.0944,0.0,0.0,180.0,-180.0,0.0,中,346.5655,0.0,176.5118,86.3243333333,142.655667,主时域0_2399
19,区域E,峰,557.35,434.73,0.2243,10.4,10.006588,587.87,177.5538,0.0,190.3162,258.26,322.825,0.0,0.0,220.0,-220.0,0.0,中,379.8093,0.0,145.2712,13.9893333333,244.270667,主时域0_2399
19,区域F,峰,586.68,457.61,0.2651,71.168,51.350932,587.87,148.0593,0.0,219.8107,214.12,271.9324,0.0,0.0,220.0,-220.0,0.0,中,387.9136,0.0,123.8731,76.293,137.827,主时域0_2399
